Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Cibalikapı Balıkçısı Moda,"Caferağa, Moda Cd. No:163, 34710 Kadıköy/İstanbul",0532 163 55 20,,N/A,https://www.google.com/maps/place/Cibalikap%C4%B1+Bal%C4%B1k%C3%A7%C4%B1s%C4%B1+Moda/data=!4m7!3m6!1s0x14cab88ae9b64fa1:0x54b003c835ec5238!8m2!3d40.980539!4d29.0241945!16s%2Fg%2F1tk40bvp!19sChIJoU-26Yq4yhQROFLsNcgDsFQ?authuser=0&hl=tr&rclk=1
Tilki coffee,"Caferağa, Mühürdar Cd. no 130/A, 34710 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/Tilki+coffee/data=!4m7!3m6!1s0x14cab9040439ccab:0xe6fceccf125391ec!8m2!3d40.9837334!4d29.0214884!16s%2Fg%2F11rxnjt3c7!19sChIJq8w5BAS5yhQR7JFTEs_s_OY?authuser=0&hl=tr&rclk=1
Asuman Moda,"Caferağa, Şair Nefi Sk. No:9/a, 34710 Kadıköy/İstanbul",(0216) 345 05 26,,http://www.asuman.com/,https://www.google.com/maps/place/Asuman+Moda/data=!4m7!3m6!1s0x14cab86108de955f:0xe4d33df65916b71f!8m2!3d40.9837234!4d29.026517!16s%2Fg%2F11dxblqh1w!19sChIJX5XeCGG4yhQRH7cWWfY90-Q?authuser=0&hl=tr&rclk=1
Seven Kebap,"Osmanağa, Leylak Sk. 6/A, 34714 Kadıköy/İstanbul",(0216) 550 07 44,,http://www.sevenkebap.com.tr/,https://www.google.com/maps/place/Seven+Kebap/data=!4m7!3m6!1s0x14cab86620f33319:0xe554d3715f962e49!8m2!3d40.9899962!4d29.026546!16s%2Fg%2F1td8nf8b!19sChIJGTPzIGa4yhQRSS6WX3HTVOU?authuser=0&hl=tr&rclk=1
PAUL’S,"Caferağa, Dr. Esat Işık Cd. No:53, 34710 Kadıköy/İstanbul",(0216) 330 19 82,,http://pauls.eatbu.com/,https://www.google.com/maps/place/PAUL%E2%80%99S/data=!4m7!3m6!1s0x14cab952c0087967:0x618db8d641f4ace!8m2!3d40.9837344!4d29.0285202!16s%2Fg%2F11c5s44nr8!19sChIJZ3kIwFK5yhQRzkofZI3bGAY?authuser=0&hl=tr&rclk=1
180 Coffee Brasserie,"Caferaga mahallesi Dr. Esat Işıl Cad. Erdal apartmani no:36 Moda Asya, 34710 Kadıköy/İstanbul",(0216) 337 57 27,,N/A,https://www.google.com/maps/place/180+Coffee+Brasserie/data=!4m7!3m6!1s0x14cab8613be9a22b:0xf844772f7f0b430b!8m2!3d40.9848115!4d29.0267406!16s%2Fg%2F11btx6l36s!19sChIJK6LpO2G4yhQRC0MLfy93RPg?authuser=0&hl=tr&rclk=1
Divan Pastanesi Erenköy,"Caddebostan, Bağdat Cad. No:333A, 34728 Kadıköy/İstanbul",(0216) 355 16 40,bootstrap@4.6.2,https://www.divanpastaneleri.com.tr/?utm_source=google&utm_medium=maps&utm_campaign=pastane&utm_content=divan-pastanesi-erenkoy,https://www.google.com/maps/place/Divan+Pastanesi+Erenk%C3%B6y/data=!4m7!3m6!1s0x14cac70b91039ffb:0xd2c3324a2d533277!8m2!3d40.9649295!4d29.072792!16s%2Fg%2F1tf8qfd_!19sChIJ-58DkQvHyhQRdzJTLUoyw9I?authuser=0&hl=tr&rclk=1
MÜZEYYEN KOŞUYOLU RESTAURANT,"Koşuyolu, Kalfa Çeşmesi Sk. No:4, 34718 Kadıköy/İstanbul",(0216) 545 57 73,,N/A,https://www.google.com/maps/place/M%C3%9CZEYYEN+KO%C5%9EUYOLU+RESTAURANT/data=!4m7!3m6!1s0x14cab803db4089fd:0xe44977ecca72bb76!8m2!3d41.0113889!4d29.0394444!16s%2Fg%2F11b6hx17g3!19sChIJ_YlA2wO4yhQRdrtyyux3SeQ?authuser=0&hl=tr&rclk=1
Friends kadıköy,"Caferağa, Miralay Nazım Sk. No:27, 34710 Kadıköy/İstanbul",0531 897 47 06,,N/A,https://www.google.com/maps/place/Friends+kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9d0ae497873:0xa0e17a9c0054a937!8m2!3d40.987549!4d29.0278631!16s%2Fg%2F11kb_nqsc2!19sChIJc3hJrtC5yhQRN6lUAJx64aA?authuser=0&hl=tr&rclk=1
Kuzu Kadıköy,"Caferağa, Dumlupınar Sk. No:1/B, 34710 Kadıköy/İstanbul",0534 736 71 33,,https://instagram.com/kuzukadikoy?igshid=jeytnaxatg3i,https://www.google.com/maps/place/Kuzu+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9389860dda3:0xfbd18450bc71da85!8m2!3d40.988714!4d29.0247112!16s%2Fg%2F11qncy4q9c!19sChIJo91gmDi5yhQRhdpxvFCE0fs?authuser=0&hl=tr&rclk=1
Maydonoz Döner Kadıköy,"Caferağa, Nail Bey Sk. NO: 23 A, 34734 Kadıköy/İstanbul",(0216) 848 40 80,,N/A,https://www.google.com/maps/place/Maydonoz+D%C3%B6ner+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab90e4e690017:0xd6af7af29e705f93!8m2!3d40.988444!4d29.0273841!16s%2Fg%2F11trwy14g6!19sChIJFwBpTg65yhQRk19wnvJ6r9Y?authuser=0&hl=tr&rclk=1
Cafe de Kadıköy,"Osmanağa, Piri Çavuş Sk. No:22, 34714 Kadıköy/İstanbul",0533 966 53 69,,https://www.facebook.com/cafedekadikoy,https://www.google.com/maps/place/Cafe+de+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab8660c7cccad:0x777a00c4a155973!8m2!3d40.9889174!4d29.0281202!16s%2Fg%2F11c5sw9_75!19sChIJrcx8DGa4yhQRc1kVSgygdwc?authuser=0&hl=tr&rclk=1
Küff Kolektif,"Osmanağa, Ali Suavi Sk. No:9/B, 34714 Kadıköy/İstanbul",,,https://www.instagram.com/kuff.kolektif/,https://www.google.com/maps/place/K%C3%BCff+Kolektif/data=!4m7!3m6!1s0x14cab9ef01876129:0x7460919cbcf6076!8m2!3d40.989151!4d29.030727!16s%2Fg%2F11gmv91288!19sChIJKWGHAe-5yhQRdmDPyxkJRgc?authuser=0&hl=tr&rclk=1
Nisan Balık Restaurant,"Osmanağa, Yasa Cd. No:54, 34710 Kadıköy/İstanbul",(0216) 349 96 26,,N/A,https://www.google.com/maps/place/Nisan+Bal%C4%B1k+Restaurant/data=!4m7!3m6!1s0x14cab867d97459f7:0xb8523e6b0624ea59!8m2!3d40.9904609!4d29.025077!16s%2Fg%2F1ptxcphy4!19sChIJ91l02We4yhQRWeokBms-Urg?authuser=0&hl=tr&rclk=1
Kasr-ı Şirin Restaurant Cafe,"Merdivenköy, Hızırbey Cd. No:225/D, 34732 Kadıköy/İstanbul",(0216) 565 10 00,,N/A,https://www.google.com/maps/place/Kasr-%C4%B1+%C5%9Eirin+Restaurant+Cafe/data=!4m7!3m6!1s0x14cac77ac194498f:0xba89c9f9fe2b6d54!8m2!3d40.9851966!4d29.0618287!16s%2Fg%2F11f9zzc4bk!19sChIJj0mUwXrHyhQRVG0r_vnJibo?authuser=0&hl=tr&rclk=1
Choice,"Rasimpaşa, Karakolhane Cd. No:29, 34716 Kadıköy/İstanbul",(0216) 330 01 38,,N/A,https://www.google.com/maps/place/Choice/data=!4m7!3m6!1s0x14cab86c10735813:0x390f83ea5c0f3a8a!8m2!3d40.9948799!4d29.029357!16s%2Fg%2F11cn8s3dc1!19sChIJE1hzEGy4yhQRijoPXOqDDzk?authuser=0&hl=tr&rclk=1
Serçini Special Lokantası,"Osmanağa, Şemsitap Sk. No:14, 34714 Kadıköy/İstanbul",(0216) 449 44 72,,N/A,https://www.google.com/maps/place/Ser%C3%A7ini+Special+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab86f354036c9:0xb7e07aa6e6c00400!8m2!3d40.9910885!4d29.0285955!16s%2Fg%2F1tj639qj!19sChIJyTZANW-4yhQRAATA5qZ64Lc?authuser=0&hl=tr&rclk=1
Livane,"Osmanağa, Osmancık Sk. No:11, 34714 Kadıköy/İstanbul",(0216) 414 40 96,,http://www.facebook.com/livanepub,https://www.google.com/maps/place/Livane/data=!4m7!3m6!1s0x14cab8661b2e58cb:0x8a8a4355f831bd2!8m2!3d40.9900709!4d29.0277517!16s%2Fg%2F1tf89xwg!19sChIJy1guG2a4yhQR0huDXzWkqAg?authuser=0&hl=tr&rclk=1
Tribu Caffe Artigiano,"Moda Caddesi Ağabey Sokak Gül Ap No:6/A Moda, Caferağa, Ağabey Sk. M. Celalellinbey Apt. 8/2, 34710 Kadıköy/İstanbul",(0216) 345 35 85,,N/A,https://www.google.com/maps/place/Tribu+Caffe+Artigiano/data=!4m7!3m6!1s0x14cab860e557edb5:0x64b673057ae71670!8m2!3d40.984531!4d29.024903!16s%2Fg%2F11c3k53fwr!19sChIJte1X5WC4yhQRcBbnegVztmQ?authuser=0&hl=tr&rclk=1
Çanak Kebap ve Katmer,"Acıbadem, Acıbadem Cd. No:115, 36660 Kadıköy/İstanbul",(0216) 325 22 34,,N/A,https://www.google.com/maps/place/%C3%87anak+Kebap+ve+Katmer/data=!4m7!3m6!1s0x14cab8078f573921:0x58435dd1a710ccf2!8m2!3d41.0054712!4d29.0455516!16s%2Fg%2F1tj5hgzf!19sChIJITlXjwe4yhQR8swQp9FdQ1g?authuser=0&hl=tr&rclk=1
Hacı Ali 2 Et Lokantası,"Osmanağa, Karadut Sk. No:5, 34714 Kadıköy/İstanbul",(0216) 346 32 81,,N/A,https://www.google.com/maps/place/Hac%C4%B1+Ali+2+Et+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab86f12992d1d:0x5dc66d784dbb8537!8m2!3d40.990963!4d29.0307636!16s%2Fg%2F1tjp4l23!19sChIJHS2ZEm-4yhQRN4W7TXhtxl0?authuser=0&hl=tr&rclk=1
Dali Burger Kadıköy,"Caferağa, Nail Bey Sk. No:11/B, 34744 Kadıköy/İstanbul",0544 979 36 39,,N/A,https://www.google.com/maps/place/Dali+Burger+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab929ce776e3b:0xc44eafde326414cf!8m2!3d40.9884706!4d29.0279217!16s%2Fg%2F11mx9gghg7!19sChIJO253zim5yhQRzxRkMt6vTsQ?authuser=0&hl=tr&rclk=1
Ali Muhiddin Hacı Bekir,"Osmanağa, Muvakkıthane Cd. 6/A, 34710 Kadıköy/İstanbul",(0216) 336 15 19,,http://www.hacibekir.com/,https://www.google.com/maps/place/Ali+Muhiddin+Hac%C4%B1+Bekir/data=!4m7!3m6!1s0x14cab867ea1676c3:0xd873f3c94b140ff2!8m2!3d40.9902825!4d29.0236534!16s%2Fg%2F1tk3d65c!19sChIJw3YW6me4yhQR8g8US8nzc9g?authuser=0&hl=tr&rclk=1
İstanbull Cafe,"Caferağa, Miralay Nazım Sk. no:15, 34714 Kadıköy/İstanbul",0506 271 07 17,"example@email.com, info@istanbullcafe.com",http://istanbullcafe.com/,https://www.google.com/maps/place/%C4%B0stanbull+Cafe/data=!4m7!3m6!1s0x14cab86f37c5bc65:0xf18f7014a173410d!8m2!3d40.9879085!4d29.0280797!16s%2Fg%2F11b7xmvhwc!19sChIJZbzFN2-4yhQRDUFzoRRwj_E?authuser=0&hl=tr&rclk=1
Brekkie Breakfast Club,"Osmanağa, Yoğurtçu Parkı Cd No:24/1, 34714 Kadıköy/İstanbul",(0216) 345 03 45,,https://www.instagram.com/brekkiemoda/?hl=ru,https://www.google.com/maps/place/Brekkie+Breakfast+Club/data=!4m7!3m6!1s0x14cab9c52f2f90f5:0xac947cd211a1406a!8m2!3d40.9862377!4d29.0330656!16s%2Fg%2F11gjhdwtbk!19sChIJ9ZAvL8W5yhQRakChEdJ8lKw?authuser=0&hl=tr&rclk=1
Lena Restoran,"Osmanağa, Sakız Sk. no:32, 34714 Kadıköy/İstanbul",0542 152 53 62,,https://instagram.com/lena.restoran,https://www.google.com/maps/place/Lena+Restoran/data=!4m7!3m6!1s0x14cab90acfccc9fb:0xc9e5054dff7b5d23!8m2!3d40.9893924!4d29.027037!16s%2Fg%2F11s_wv3z91!19sChIJ-8nMzwq5yhQRI117_00F5ck?authuser=0&hl=tr&rclk=1
Kirpi Erenköy,"Bağdat Caddesi No.325 A 1-2, 34728 Kadıköy/İstanbul",(0216) 385 34 43,"info@kirpirestaurant.com.tr, ik@kirpirestaurant.com.tr",http://www.kirpicafe.com/,https://www.google.com/maps/place/Kirpi+Erenk%C3%B6y/data=!4m7!3m6!1s0x14cac774e72ddf6b:0x200c1d26371cfcac!8m2!3d40.9653764!4d29.0718876!16s%2Fg%2F1tr46wf1!19sChIJa98t53THyhQRrPwcNyYdDCA?authuser=0&hl=tr&rclk=1
Vapaus Coffee,"Caferağa, Gen. Asım Gündüz Cd. No: 43, 34710 Kadıköy/İstanbul",0530 929 27 77,,N/A,https://www.google.com/maps/place/Vapaus+Coffee/data=!4m7!3m6!1s0x14cab95263eca4ef:0xd3ae4bcb1f9bdd34!8m2!3d40.9862859!4d29.0281479!16s%2Fg%2F11t9h9glrw!19sChIJ76TsY1K5yhQRNN2bH8tLrtM?authuser=0&hl=tr&rclk=1
Ahh İstanbul Kadıköy Meyhanesi,"Caferağa, Misbah Muayyeş Sk. no:9 Kat:3, 34710 Kadıköy/İstanbul",0507 684 42 22,,http://ahhistanbulmeyhanesi.com/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/Ahh+%C4%B0stanbul+Kad%C4%B1k%C3%B6y+Meyhanesi/data=!4m7!3m6!1s0x14cab9f4d5bb4f21:0x36d01eba6e2243d1!8m2!3d40.9890769!4d29.0219593!16s%2Fg%2F11pg9gdvd0!19sChIJIU-71fS5yhQR0UMibroe0DY?authuser=0&hl=tr&rclk=1
Munchies Crepes & Pancakes,"Caferağa, Moda Cd., 34710 Kadıköy/İstanbul",(0216) 336 30 39,,N/A,https://www.google.com/maps/place/Munchies+Crepes+%26+Pancakes/data=!4m7!3m6!1s0x14cab88aa80db1c1:0x619885e761165a3d!8m2!3d40.9819444!4d29.0233333!16s%2Fg%2F11c150c86z!19sChIJwbENqIq4yhQRPVoWYeeFmGE?authuser=0&hl=tr&rclk=1
Küff Yeldeğirmeni,"Rasimpaşa, Karakolhane Cd. No:54, 34716 Kadıköy/İstanbul",,,https://www.facebook.com/kuffcafe/,https://www.google.com/maps/place/K%C3%BCff+Yelde%C4%9Firmeni/data=!4m7!3m6!1s0x14cab86c6d0e1f1f:0xa8e65a5db933b0a4!8m2!3d40.9957191!4d29.0293389!16s%2Fg%2F11cn9k2vhn!19sChIJHx8ObWy4yhQRpLAzuV1a5qg?authuser=0&hl=tr&rclk=1
Çıkmaz Meyhane,"Osmanağa, Mimar Çk D:4/A, 34714 Kadıköy/İstanbul",0533 651 66 01,,N/A,https://www.google.com/maps/place/%C3%87%C4%B1kmaz+Meyhane/data=!4m7!3m6!1s0x14cab86606d8e4af:0x22ffd572b43d938a!8m2!3d40.9894593!4d29.0282307!16s%2Fg%2F11hcf1q8p5!19sChIJr-TYBma4yhQRipM9tHLV_yI?authuser=0&hl=tr&rclk=1
Mezze House,"Fenerbahçe, Yoğurtçubaşı Sk. No:2, 34726 Kadıköy/İstanbul",0530 151 42 50,,N/A,https://www.google.com/maps/place/Mezze+House/data=!4m7!3m6!1s0x14cac77e3fb80221:0xe0812ff8ab0834c9!8m2!3d40.9718!4d29.0475!16s%2Fg%2F11fx9b1pjg!19sChIJIQK4P37HyhQRyTQIq_gvgeA?authuser=0&hl=tr&rclk=1
Ala Kadıköy Meyhane,"Caferağa, Yasa Cd. 58/A, 34734 Kadıköy/İstanbul",(0216) 541 01 11,,N/A,https://www.google.com/maps/place/Ala+Kad%C4%B1k%C3%B6y+Meyhane/data=!4m7!3m6!1s0x14cab867d3bcf441:0xde633ea145187afe!8m2!3d40.9902554!4d29.0253911!16s%2Fg%2F11dfjxy81y!19sChIJQfS802e4yhQR_noYRaE-Y94?authuser=0&hl=tr&rclk=1
İstasyon Cafe,"Caferağa, Ressam Şeref Akdik Sokağı 20a, 34710 Kadıköy/İstanbul",0532 603 83 58,,https://www.instagram.com/modaistasyoncafe?igsh=MXFocm5pdjdpNzhhYg==,https://www.google.com/maps/place/%C4%B0stasyon+Cafe/data=!4m7!3m6!1s0x14cab861261fc3c7:0x60e632f143d9ee1a!8m2!3d40.9853416!4d29.0259293!16s%2Fg%2F11by_dbm6w!19sChIJx8MfJmG4yhQRGu7ZQ_Ey5mA?authuser=0&hl=tr&rclk=1
Koço Restaurant,"Caferağa, Moda Cd. No:171, 34710 Kadıköy/İstanbul",(0216) 336 07 95,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,http://www.kocorestaurant.com/,https://www.google.com/maps/place/Ko%C3%A7o+Restaurant/data=!4m7!3m6!1s0x14cab88ac3d6fbf3:0x81089b646eeb5aa6!8m2!3d40.9801066!4d29.0245649!16s%2Fg%2F1trs_6x3!19sChIJ8_vWw4q4yhQRplrrbmSbCIE?authuser=0&hl=tr&rclk=1
Kadıköy,"Eğitim, Çırağan Sk. No:24, 34722 Kadıköy/İstanbul",0543 710 01 21,,https://egtm.eatbu.com/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cac78926f266a1:0x3c29fabe802aec64!8m2!3d40.9910671!4d29.0525071!16s%2Fg%2F11h_fr3fxn!19sChIJoWbyJonHyhQRZOwqgL76KTw?authuser=0&hl=tr&rclk=1
Balıkçı Lokantası,"Rasimpaşa, Tayyareci Sami Sk. No:20 D:B, 34716 Kadıköy/İstanbul",(0216) 346 40 14,,N/A,https://www.google.com/maps/place/Bal%C4%B1k%C3%A7%C4%B1+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cab86909c52307:0xb9891dcdfb2ffc64!8m2!3d40.9937629!4d29.0257168!16s%2Fg%2F1vy5dfvw!19sChIJByPFCWm4yhQRZPwv-80dibk?authuser=0&hl=tr&rclk=1
Balon Cafe & Restaurant,"Caferağa, Kadıköy Sahili, 34716 Kadıköy/İstanbul",(0216) 347 67 03,,http://instagram.com/turkbaloncafe,https://www.google.com/maps/place/Balon+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x14cab85ce1960569:0x434ce035ae77f43f!8m2!3d40.9911544!4d29.0191374!16s%2Fg%2F1tdhj46p!19sChIJaQWW4Vy4yhQRP_R3rjXgTEM?authuser=0&hl=tr&rclk=1
Hayalperest,"Osmanağa, Osmancık Sk. No:5/A, 34714 Kadıköy/İstanbul",0551 398 14 62,,N/A,https://www.google.com/maps/place/Hayalperest/data=!4m7!3m6!1s0x14cab8661b3d740f:0x71746d0b15c7d985!8m2!3d40.9899124!4d29.0277538!16s%2Fg%2F11f01tw_11!19sChIJD3Q9G2a4yhQRhdnHFQttdHE?authuser=0&hl=tr&rclk=1
Panda Kitchen Kadıköy,"Hasanpaşa, Zerrin Sk. No:4 / A, 34722 Kadıköy/İstanbul",0546 621 87 88,,N/A,https://www.google.com/maps/place/Panda+Kitchen+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cac766e9c5c1eb:0xd040ea69c01596bc!8m2!3d41.00027!4d29.048013!16s%2Fg%2F11rmngtt40!19sChIJ68HF6WbHyhQRvJYVwGnqQNA?authuser=0&hl=tr&rclk=1
Asmalı Bahçe,"Osmanağa, Kuşdili Cd. No:40, 34714 Kadıköy/İstanbul",(0216) 338 12 38,,http://www.kadikoyasmalibahce.com/,https://www.google.com/maps/place/Asmal%C4%B1+Bah%C3%A7e/data=!4m7!3m6!1s0x14cab86f8ac8053f:0x2217c40dec7e353e!8m2!3d40.9887349!4d29.0328459!16s%2Fg%2F11b7q0gtrt!19sChIJPwXIim-4yhQRPjV-7A3EFyI?authuser=0&hl=tr&rclk=1
Bistro 33,"Caddebostan, Zincirli Köşk Sk. No:10, 34728 Kadıköy/İstanbul",(0216) 478 65 50,,N/A,https://www.google.com/maps/place/Bistro+33/data=!4m7!3m6!1s0x14cac70b5f9828fd:0x776b495ad161e28f!8m2!3d40.9642505!4d29.0702204!16s%2Fg%2F1tf1kvxk!19sChIJ_SiYXwvHyhQRj-Jh0VpJa3c?authuser=0&hl=tr&rclk=1
No 39,"Rasimpaşa, Duatepe Sk. No:39, 34716 Kadıköy/İstanbul",,,N/A,https://www.google.com/maps/place/No+39/data=!4m7!3m6!1s0x14cab86c694f378b:0x67d1ccff427e43e6!8m2!3d40.9956978!4d29.029666!16s%2Fg%2F11c6sm_d2z!19sChIJizdPaWy4yhQR5kN-Qv_M0Wc?authuser=0&hl=tr&rclk=1
Fül Fül Çorba,"Hasanpaşa, Kurbağalıdere Cd. 37/B, 34734 Kadıköy/İstanbul",(0216) 347 37 38,,N/A,https://www.google.com/maps/place/F%C3%BCl+F%C3%BCl+%C3%87orba/data=!4m7!3m6!1s0x14cab97810210bcf:0x34dc3e5f5e534be!8m2!3d40.993864!4d29.036384!16s%2Fg%2F11qnvlvk83!19sChIJzwshEHi5yhQRvjTl9eXDTQM?authuser=0&hl=tr&rclk=1
Cadde Karadeniz Ev Yemekleri,"Osmanağa, Mürver Çiçeği Sk. No:14/B, 34714 Kadıköy/İstanbul",(0216) 330 80 53,"info@caddekaradeniz.com.tr, handeemren@gmail.com",http://www.caddekaradeniz.com.tr/,https://www.google.com/maps/place/Cadde+Karadeniz+Ev+Yemekleri/data=!4m7!3m6!1s0x14cab86f3637ce25:0xd644754ef8a942b!8m2!3d40.9910027!4d29.0290296!16s%2Fg%2F11b7q50gj8!19sChIJJc43Nm-4yhQRK5SK71RHZA0?authuser=0&hl=tr&rclk=1
Khalkedon Rakı & Balık Evi,"Caferağa, Güneşli Bahçe Sok No:37, 34710 Kadıköy/İstanbul",(0216) 450 15 64,,https://www.instagram.com/khalkedonrakibalikevi?igsh=MWlvZGdkNHVrMjZndw==,https://www.google.com/maps/place/Khalkedon+Rak%C4%B1+%26+Bal%C4%B1k+Evi/data=!4m7!3m6!1s0x14cab867bbff1f1d:0x881e4981e55ec4fd!8m2!3d40.9894596!4d29.024534!16s%2Fg%2F1td8vjkc!19sChIJHR__u2e4yhQR_cRe5YFJHog?authuser=0&hl=tr&rclk=1
Babil Kadıköy,"Osmanağa, Piri Çavuş Sk. No:33/a, 34714 Kadıköy/İstanbul",0546 776 79 71,,N/A,https://www.google.com/maps/place/Babil+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab916c40e7013:0xcdd0b8dbad7357bf!8m2!3d40.9886417!4d29.0279103!16s%2Fg%2F11whlb_yqc!19sChIJE3AOxBa5yhQRv1dzrdu40M0?authuser=0&hl=tr&rclk=1
Panzarotti Kadıköy,"Osmanağa, Kıvanç Sk. No:5, 34710 Kadıköy/İstanbul",0850 840 8328,intersection-observer-polyfill@0.1.0,http://panzarotti.istanbul/,https://www.google.com/maps/place/Panzarotti+Kad%C4%B1k%C3%B6y/data=!4m7!3m6!1s0x14cab9fff61f6051:0xc61ec7b5a4d9fe3f!8m2!3d40.9919228!4d29.0287855!16s%2Fg%2F11h_vx7q3t!19sChIJUWAf9v-5yhQRP_7ZpLXHHsY?authuser=0&hl=tr&rclk=1
Saki Meyhane,"22, Caferağa, Mukadderhane Cd., 34710 Kadıköy/İstanbul",(0216) 418 26 05,,N/A,https://www.google.com/maps/place/Saki+Meyhane/data=!4m7!3m6!1s0x14cab867c793bad9:0xf6309573149264fc!8m2!3d40.9897907!4d29.0247929!16s%2Fg%2F11g88bzz_m!19sChIJ2bqTx2e4yhQR_GSSFHOVMPY?authuser=0&hl=tr&rclk=1
Pişi Mutfak Moda | Kahvaltı Kadıköy | Kahve,"Caferağa, Ağabey Sk. No: 3/A, 34710 Kadıköy/İstanbul",,,https://www.instagram.com/pisimutfakmoda/,https://www.google.com/maps/place/Pi%C5%9Fi+Mutfak+Moda+%7C+Kahvalt%C4%B1+Kad%C4%B1k%C3%B6y+%7C+Kahve/data=!4m7!3m6!1s0x14cab99988a329ab:0x8783468adf7080e8!8m2!3d40.9846531!4d29.0251938!16s%2Fg%2F11hps_07_m!19sChIJqymjiJm5yhQR6IBw34pGg4c?authuser=0&hl=tr&rclk=1
EVİM ET LOKANTASI,"Rasimpaşa Mh rıhtım caddesi tayyareci sami, Sk no 18 a kadıköy, 34716 Kadıköy/İstanbul",(0216) 346 29 27,,N/A,https://www.google.com/maps/place/EV%C4%B0M+ET+LOKANTASI/data=!4m7!3m6!1s0x14cab869081567a7:0xdcc1d4e53a93dc6!8m2!3d40.9936169!4d29.0257105!16s%2Fg%2F11c6zy98y1!19sChIJp2cVCGm4yhQRxj2pU04dzA0?authuser=0&hl=tr&rclk=1
Cafe De Paris - Suadiye,"Suadiye, Plaj Yolu Sk. No:27, 34740 No:27, 34740, 34740 Kadıköy/İstanbul",(0216) 384 00 24,info@cafedeparis-suadiye.com,http://cafedeparis-suadiye.com/,https://www.google.com/maps/place/Cafe+De+Paris+-+Suadiye/data=!4m7!3m6!1s0x14cac71000e17889:0x5248e5ea9d9e8dc8!8m2!3d40.9563993!4d29.0807654!16s%2Fg%2F1tkzjfl6!19sChIJiXjhABDHyhQRyI2enerlSFI?authuser=0&hl=tr&rclk=1
Kilisli Fiko,"Rasimpaşa, Orgeneral Şahap Gürler Cd. No:61, 34716 Kadıköy/İstanbul",(0216) 418 91 95,,http://www.kilislifiko.com/,https://www.google.com/maps/place/Kilisli+Fiko/data=!4m7!3m6!1s0x14cac7b749c9ecdf:0xf1de58f73c664f8a!8m2!3d40.996148!4d29.024649!16s%2Fg%2F1tgldnjg!19sChIJ3-zJSbfHyhQRik9mPPdY3vE?authuser=0&hl=tr&rclk=1
Akdeniz Kafe,"19, Caferağa, Neşet Ömer Sk., 34710 Kadıköy/İstanbul",(0216) 450 07 73,,N/A,https://www.google.com/maps/place/Akdeniz+Kafe/data=!4m7!3m6!1s0x14cab85d824aafa3:0x9de0f0191a32307!8m2!3d40.9890862!4d29.0224672!16s%2Fg%2F1tkxjbjf!19sChIJo69Kgl24yhQRByOjkQEP3gk?authuser=0&hl=tr&rclk=1
Kadıköy Moda Coffy,"Caferağa, Dr. Esat Işık Cd. Işın Apt No:42 F, 34710 Kadıköy/İstanbul",,info@coffy.com.tr,https://coffy.com.tr/,https://www.google.com/maps/place/Kad%C4%B1k%C3%B6y+Moda+Coffy/data=!4m7!3m6!1s0x14cab9b544f7041d:0x263ef0c499e60a32!8m2!3d40.9844771!4d29.0268373!16s%2Fg%2F11scnnj95p!19sChIJHQT3RLW5yhQRMgrmmcTwPiY?authuser=0&hl=tr&rclk=1
Moda Berliner & Donut Cafe,"Caferağa, Dalga Sk. 7 A, 34710 Kadıköy/İstanbul",0542 236 76 78,,http://instagram.com/moda.berliner,https://www.google.com/maps/place/Moda+Berliner+%26+Donut+Cafe/data=!4m7!3m6!1s0x14cab9aea4456dc5:0xff6f57fe5f955548!8m2!3d40.9851905!4d29.025806!16s%2Fg%2F11h0_q0yk5!19sChIJxW1FpK65yhQRSFWVX_5Xb_8?authuser=0&hl=tr&rclk=1
KEM KÜM Egyptian Vegan Restaurant Moda Kadıköy Istanbul,"Osmanağa, Pavlonya Sk. no9, 34714 Kadıköy/İstanbul",0533 422 92 43,,https://www.instagram.com/kem.kum.egyptian.eatery?igsh=ejlwcWdkNWM1Ym9l,https://www.google.com/maps/place/KEM+K%C3%9CM+Egyptian+Vegan+Restaurant+Moda+Kad%C4%B1k%C3%B6y+Istanbul/data=!4m7!3m6!1s0x14cab945873c1b31:0xb8c5cfb890f7de83!8m2!3d40.9905339!4d29.0264016!16s%2Fg%2F11h75_f4by!19sChIJMRs8h0W5yhQRg973kLjPxbg?authuser=0&hl=tr&rclk=1
