İsim,Adres,Telefon,E-posta
Trakya Köfte Salonu,İmrahor ilyasbey caddesi,0535 320 01 83,
Çiğköfteci ömer usta,İmrahor ilyasbey caddesi,,
Ümit Börek Salonu,İmrahor ilyasbey caddesi,(0212) 589 93 24,
Eyüp Sultan Sofrası,İmrahor ilyasbey caddesi,0530 385 77 33,
Kebapçıoğlu,Yedikule Caddesi,(0212) 529 00 99,
Farrujna,Yedikule Caddesi,05366957504,
Hükümran Sofrası,İmrahor ilyasbey caddesi,0532 620 21 27,
Safa meyhanesi,İmrahor ilyasbey caddesi,(0212) 585 55 94,
Yedikule kebapçısı,İmrahor ilyasbey caddesi,02125860334,
Aydın kardeşler köfte salonu,İmrahor ilyasbey caddesi,02125888401,
Aydın kardeşler börekçi,İmrahor ilyasbey caddesi,(0212) 530 97 05,
Oses çiğköfte,İmrahor ilyasbey caddesi,(0212) 529 35 37,
İncedal et lokantası,İmrahor ilyasbey caddesi,(0212) 586 59 45,
Öz Anteplizade,İmrahor ilyasbey caddesi,,
Rumeli Tulumbacısı,İmrahor ilyasbey caddesi,,
Pide salon,,,
Samatya Çapana,İçkalpakçı Sokak,02125861981,
Çapana Et Balık,İçkalpakçı Sokak,05321305661,
Samatya Mangalbaşı,İçkalpakçı Sokak,,
Samatya Balıkçısı,Büyük Kuleli Sokak,02125298438,
Sarya,Büyük Kuleli Sokak,05389505929,
Antik Et Balık,Büyük Kuleli Sokak,05374592580,
Annemin Yeri,Büyük Kuleli Sokak,,
Kucuk Ev,Büyük Kuleli Sokak,05359784003,
Norjin Samatyon,Akıncı Sokak,05452036273,
Forsa Balık,Akıncı Sokak,05339617677,
Meze,Büyük Kuleli Sokak,05324262624,
Matya Kömürde Balık,Gümüş Yüksük Sokak,05305582231,
Samatya Balık Evi,Gümüş Yüksük Sokak,02125879565,
Develi,Büyük Kuleli Sokak,02125290833,
Ali Haydar İkinci Bahar,Gümüş Yüksük Sokak,05323819134,
Yunca Büfe,Sancaktar Tekkesi Sokak,,
Maydanoz,Etyemez Tekkesi Sokak,0212853038,
Can Pide Börek,Etyemez Tekkesi Sokak,02125881319,
Hasanoğlu Börek Pasta ve Cafe,Etyemez Tekkesi Sokak,,
Samatya Ocakbasi,Büyük Kuleli Sokak,02126327589,
Günbilir Balık Restaurant,Eski Kullukçu Sokak,,
Sedir Et ve Balık,Büyük Kuleli Sokak,02126634620,
Deniz Balık Restaurant,Büyük Kuleli Sokak,05333474172,
Cihan Derya Balık,Büyük Kuleli Sokak,02125880510,
Öztürk Kardeşler Balık Lokantası,Büyük Kuleli Sokak,02125299903,
Helena Çak Stone,Abdurrahman Nafiz Gürman Caddesi,05413856363,
Mevlana Pide,Abdurrahman Nafiz Gürman Caddesi,02125300021,
Meşhur Samatya pilavcısı,Abdurrahman Nafiz Gürman Caddesi,05373911174,
Tunyalı Ocakbaşı ve Kababı,Abdurrahman Nafiz Gürman Caddesi,02125890061,
Dostlar Büfe ve Köfte,Abdurrahman Nafiz Gürman Caddesi,05313157093,
Meşhur Tekirdağ Köftecisi,Abdurrahman Nafiz Gürman Caddesi,02125893000,
Doyum Kebap Ve Dürüm Salonu,Abdurrahman Nafiz Gürman Caddesi,02125886527,
Meşhur Samatya Bilavcısı,Abdurrahman Nafiz Gürman Caddesi,02125875405,
Samatya börek ve pide,Abdurrahman Nafiz Gürman Caddesi,,
Hemşerim Durumcusu,Abdurrahman Nafiz Gürman Caddesi,,
Şölen Ocakbaşı,Abdurrahman Nafiz Gürman Caddesi,02125852872,
Öz Ağam Kebap Lahmacun Salonu,Abdurrahman Nafiz Gürman Caddesi,,
Meşhur Sarıyer Börekçisi,Abdurrahman Nafiz Gürman Caddesi,02125850191,
Kardesler Koftecisi,Abdurrahman Nafiz Gürman Caddesi,02125880960,
Saki Pub,Abdurrahman Nafiz Gürman Caddesi,02125869742,
Meşhur Sarıyer Börekçisi,Abdurrahman Nafiz Gürman Caddesi,05364195277,
Köşem Büfe,Abdurrahman Nafiz Gürman Caddesi,05515531003,
Çıtır Börek ve Pide,Abdurrahman Nafiz Gürman Caddesi,02125291529,
Mesire kebap ve lahmacun salonu,Abdurrahman Nafiz Gürman Caddesi,2125850766,
Tandır Taşfırın Pide Lahmacun Kebap Salonu,Abdurrahman Nafiz Gürman Caddesi,02126336092,
Yörem urfa taş fırnı,İzci Türk Sokak,02125871023,
Çevre Kebap,Cambaziye Mektebi Sokak,02125858918,
Valide Kebap ve Lahmacun Salonu,Cambaziye Mektebi Sokak,02125877380,
Kırımlı Çibörek,Cambaziye Mektebi Sokak,05350775515,
Şafak pide ve lahmacun,Berber Şefik Sokak,02125891332,
Her Telden Çılgın Kebapçı,Berber Şefik Sokak,02125864572,
Urfalı çıtır kadir lahmacun pide,Milli Müdafaa Caddesi,02125882763,
Aziz Urfa Kebap ve Lahmacun Salonu,Milli Müdafaa Caddesi,02125882763,
Kardeşler Yufkacısı,Mütesellim Sokak,02125886885,
Ay Büfe,Mercan Balığı Sokak,05345446303,
Başlangıç Lokantası,02125291020,,
Özgul börek,Sarraf Tahsin Sokak,,
Teyzemin Mutfağı,Sancaktar Tekkesi Sokak,02125307088,
Duygu Ocakbaşı,,,
Köşebaşı Maslak,,,
Pecos,,,
Big Chefs,,,
Yeşimin Mutfağından Ev Yemekleri,Yokuş çeşmesi sokağı,(0212) 587 74 55,
Kardeş büfe,Yokuş çeşmesi sokağı,,
Ahtım Köfte ve Ev Yemekleri,Yokuş çeşmesi sokağı,(0212) 587 33 62,
Büfe köfte,Yokuş çeşmesi sokağı,,
Damak Kebap Döner Yemek Salonu,Yokuş çeşmesi sokağı,(0212) 632 72 88,
Çeşm-İ Cİhan Ev Yemeklerİ,Yokuş çeşmesi sokağı,(0212) 585 30 31,
Ciğerci Kemal Ustanin Yeri,Org. Abdurrahman Nafiz Gürman Caddesi,,
Can Pide Ve Lahmacun Fırını,Küçük Langa Caddesi,Can Pide Ve Lahmacun Fırını,
Meshur Langa Borekcisi,Küçük Langa Caddesi,(0212) 589 03 26,
Urfa Kebap Ve Lahmacun Salonu,Küçük Langa Caddesi,(0212) 586 40 05,
Umut Börek,Küçük Langa Caddesi,0541 254 58 14,
Tarihi Sariyer Börekçisi,Namık kemal caddesi,(0212) 586 36 94,
Şanlı et lokantası,Küçük langa caddesi,02125840494,
Berat döner,Küçük langa caddesi,02125290071,
Sarıyer börekçisi,Küçük langa caddesi,,
Can ocakbaşı,Küçük langa caddesi,02125897412,
Hacı kral mutfağı,Valide cami sokağı,02125897541,
Çömçe et lokantası,Valide cami sokağı,02125291172,
Nuri usta baklava,Namık kemal caddesi,,
Casablanca resataurant,Valide cami sokak,02125862100,
Eyfel hotelium cafe and restaurant,Manastırlı rıfat sokağı,,
Bilican saray,Manastırlı rıfat sokağı,02125303636,
Giorgi,Manastırlı rıfat sokağı,,
Suffa Et Ve Kebap,Namık kemal caddesi,(0212) 529 50 60,
Kükrük,Cerrahpaşa caddesi,,
Aksaray Mangal,Cerrahpaşa caddesi,(0212) 529 94 52,
Tat Köfte,Cerrahpaşa caddesi,(0212) 530 09 29,
Kerim ustanın mutfağı,Cerrahpaşa caddesi,,
Doyum Lokantası,Cerrahpaşa caddesi,(0212) 632 18 27,
Metin Usta Baklava,Cerrahpaşa caddesi,,
Ustam Kebap Dünyası,Cerrahpaşa caddesi,,
Çıtır pide lahmacun,Kocamustafapaşa caddesi,02126322802,
Tarihi Cerrahpaşa Köftecisi Mesut Usta,Kocamustafapaşa caddesi,(0212) 632 76 37,
Müslüm Usta Has Urfa 63,Kocamustafapaşa caddesi,(0212) 585 12 85,
Hatay İkizler Tatlıcısı,Kocamustafapaşa caddesi,,
Özgül Börek Salonu,Kocamustafapaşa caddesi,0536 705 35 78,
Köfteci Ramiz,,,
Kırımlı Çıbörek Bın Yıllık Lezzet,Tatlıpınar Caddesi,0507 531 83 76,
Küçük Ev,Tatlıpınar Caddesi,(0212) 532 34 23,
ETNA EV YEMEKLERI,Tatlıpınar Caddesi,0507 204 72 76,
Turkuaz Ev Yemekleri,Tatlıpınar Caddesi,,
ASRIN PASTANESi,Tatlıpınar Caddesi,0532 362 42 02,
Ferda Börek Salonu,Pazar Tekkesi Sokağı,(0212) 631 72 23,
Çağrı köfte ve döner,Bezmialem Vakıf Ünv. Caddesi,(0212) 621 58 49,
Kul Sofras,Bican Bağcıoğlu Yokuşu,(0212) 534 33 68,
Yılmaz Lokantası,Bican Bağcıoğlu Yokuşu,(0212) 247 12 10,
Meydan Lokantası,Topkapı caddesi,,
Gaziantep Ocakbaşı Topkapı,Topkapı caddesi,(0212) 533 99 67,
Dersaadet,,,
Damak lokantası,Topkapı caddesi,,
Damak lokantası,Topkapı caddesi,,
Konak Lokantası,Topkapı caddesi,(0212) 532 05 34,
Canip Ustanın Yeri,Topkapı caddesi,(0212) 635 85 71,
Lokanta 53,Topkapı caddesi,,
Kebapçı Murat,Topkapı caddesi,(0212) 523 01 01,
Bereket Döner Topkapı Kaleiçi,Topkapı caddesi,(0212) 523 11 12,
Tarihi ULUSOY PASTA BÖREKÇİSİ,Topkapı caddesi,(0212) 524 29 95,
HATAY OCAKBAŞI RESTAURANT,Turgut özal millet caddesi,(0212) 531 37 38,
İkinci Adres Restoran Pub,Turgut özal millet caddesi,,
Galatea altin,,,
Galata Olympus,,,
Marmara Balık,,,
Zeno,,,
Neptün Balık,,,
Saray,,,
Güler Restaurant,Şehzadebaşı Caddesi,+902125207241,
Daphne restaurant,Saffet Paşa Sokağı,,
Venezia restaurant,Fethibey Caddesi,,
Diana Restaurant,Ağa Yokuşu,,
Gaziantep Restaurant,Selimpaşa Sokak,,
Tostçu İbrahim,Ömer Efendi Sokak,05327175208,
Tekbir Pide Lahmacun Salonu,Ömer Efendi Sokak,05352107947,
Hacielaziz Çiğköfte,Ömer Efendi Sokak,02125339900,
Fatih Damak Pide,Haydar Bey Caddesi,02125215057,
Lezzet Gurme,Kıztaşı Caddesi,02126210381,
Salih Usta Çiğköfteci,Yesarizade Caddesi,,
Tarihi Kismet Pidecisi,Yesarizade Caddesi,02126318613,
Tarihi Fatih Murat Pidecisi,Kırbacı Caddesi,02125213381,
Jing Ya Tang Restaurant,Zeyrek Caddesi,Itfaiye Caddesi,
Güven Ocakbaşı,Piri Sokak,02125212106,
Sur Ocakbaşı,Itfaiye Caddesi,02125338088,
Bahçıvan 2 Pide Lavaş Fırını,Hüsambey Sokak,02125237405,
Fatih Sur Börekçisi,Hüsambey Sokak,05325031436,
Paşa Broasted,Tezgahçılar Sokak,,
Güneydoğu Sofrası,Tezgahçılar Sokak,02125231540,
Göktaş Branda,Kovacılar Sokak,02125313944,
Fatih Karadeniz Pidecisi,Büyük Karaman Caddesi,,
Dodo,Fevzi Paşa Caddesi,,
Ağa Türk Mutfağı,Fevzi Paşa Caddesi,,
Meydan restaurant,Fevzi Paşa Caddesi,,
Gül Evi Restaurant,Akşemsettin Caddesi,,
Tabia Restaurant,Akşemsettin Caddesi,,
Köroğlu Et Lokantası,Akşemsettin Caddesi,,
Akşemsettin Balık Lokantası,Akşemsettin Caddesi,,
Tarihi Özkan Köftecisi,Akşemsettin Caddesi,,
Buuzecedi,Akşemsettin Caddesi,,
Hadramot Yemeni Restaurant,Akşemsettin Caddesi,,
Happy Chicken,Akşemsettin Caddesi,05378178402,
Mazaj Restaurant,Akşemsettin Caddesi,,
Dunya Dürüm,Heyder Bey Caddesi,05340732198,
Şanlar Pastneleri,Manyasizade Caddesi,,
Yuvam Restaurant,Fevzi Paşa Caddesi,,
Rumeli Dondurma,Fevzi Paşa Caddesi,,
2 Lokma,Turgut Özal Millet Caddesi,,
Altınkapı Restaurant,Turgut Özal Millet Caddesi,+90 212 589 4161,
Cihan Derya Balık,Ahmet Vefik Paşa Caddesi,,
Tad Et & İzgara,Mevlanakapı Caddesi,,
Palukçu Restaurant,Büyük Saray Meydanı Caddesi,,
Kilis Sofrası,Sümbül Efendi Sokak,,
,Yeni Çeşme Sokak,,
Doğan Kardeşler Börek Salonu,Meşeli Mescit Sokak,,
Ali Usta,Alay İmamı Sokak,,
Meşhur Sarıyer Börekçisi,Hekimoğlu Alipaşa Caddesi,,
Çeşni Yöresel Gıdalar,Hekimoğlu Alipaşa Caddesi,,
Şölen Pastaneleri,Hekimoğlu Alipaşa Caddesi,,
Silivri Kapı Balıkçısı,Silivrikapı Caddesi,,
Gaziantep Kilis Kebap ve Lahmacun,Silivrikapı Caddesi,,
Paşa Pilavcısı,Turan Topal Sokak,,
Senl,Vidin Caddesi,,
Kırık Çatal,Vidin Caddesi,,
Meşhur Pilavcı Celal Usta,Vidin Caddesi,,
Develi Pidecisi,Vidin Caddesi,,
Pilavcı Celal Usta,Vidin Caddesi,05889005,
Star Ocakbaşı ve Pub,Sinekli Bahçe sokağı,(0212) 632 95 01,
Mis Köfte,Sinekli Bahçe Aralığı,(0212) 530 71 10,
Çığır lahmacun,Sinekli Bahçe Aralığı,0545 529 60 78,
Huzur Uygur Mufatğı,Asım bey sokağı,,
Kebabçım,Asım bey sokağı,,
Büyük Günaydın Kelle Paça Salonu,Abdullah Çavuş Sokağı,0532 587 09 91,
Sams arap yemekleri,Sorguççu Sokağı,,
Divan Antep,Abdüllatif Paşa Sokağı,(0212) 530 60 62,
Ana yurt lokantası,Abdüllatif Paşa Sokağı,02125887712,
Gaziantepli,Abdüllatif Paşa Sokağı,0212) 585 99 59,
Fatih Çitir Pide,At Pazarı Sokak,02126210155,
Urfalım Kebap,Muradiye Caddesi,+90 212 527 56 11,
Şirin Köfte Kebap Döner Salonu,Vezir Camii Çıkmazı,+90 212 527 52 94,
Bonos Cafe Restoran,Vezir Camii Çıkmazı,,
Onbaşılar Dürümcü,Muradiye Caddesi,+90 212 526 81 71,
Class Rest ve Pide Salonu,Muradiye Caddesi,,
Neyzade Restaurant,Taya Hatun Caddesi,+90 212 528 43 44,
Blu Kitchen,Hüdavendigar Caddesi,,
Capadocia Restaurant,Hüdavendigar Caddesi,+90 212 522 67 67,
Red River Pub,Hüdavendigar Caddesi,+90 212 513 73 10,
Ana Sofrası,Dervişler Sokak,,
Mandy Resturant,Nöbethane Caddesi,,
Trabzon Lokantası,Dervişler Sokak,,
Şöhret Köftecisi,Darüssade Sokak,+90 212 512 25 53,
Ney Ocakbaşı,Darüssade Sokak,+90 539 511 24 92,
Galata Fish & Kebab Restaurant,İstasyon Arkası Sokak,,
Sirkeci Restaurant,Serdar Sokak,+90 212 526 26 64,
Old City Garden Restaurant,Darüssade Sokak,+90 212 520 81 48,
Köfteci Yusuf,Kennedy Cd,,
Terrace Restaurant,Ebussuut Caddesi,,
Olive Anatolian Restaurant,Ibn-I-Kemal Caddesi,,
New Hatay Restaurant,İbni Kemal Caddesi,,
Dejavu Restaurant and Bar,Mehmet Murat Sokak,,
Enjoy Pub Restaurant,Saffeti Paşa Sokak,,
Bistro Chef,Mehmet Murat Sokak,,
Raymond Cafe and Restaurant,İbni Kemal Caddesi,+90 212 522 32 23,
Salute Pub and Restaurant,Ibn-I-Kemal Caddesi,+90 212 512 22 98,
Enes İbrahim,İbni Kemal Caddesi,,
Balkan Lokantası,Hoca Paşa Sokak,+90 212 514 34 94,
Can Oba Restaurant,Hoca Paşa Sokak,+90 212 522 12 15,
Birecikli,Hoca Paşa Sokak,,
Kasap Osman,Hoca Paşa Sokağı,+90 212 519 32 16,
tantunabi,Ebussuut Caddesi,+90 212 555 76 62,
Elif Büfe,Ebussuut Caddesi,,
Şehzade Cağ Kebap,Hoca Paşa Sokağı,+90 212 520 33 61,
Meşhur Filibe Köftecisi,Ankara Caddesi,+90 212 519 39 76,
Namlı Rumeli Köftecisi,Hoca Paşa Sokak,+90 212 511 21 96,
Hocapaşa Pidecisi,Hoca Paşa Sokağı,+90 212 512 09 90,
GAR PUB Cafe & Restaurant,Muradiye Caddesi,,
Fasuli,Muradiye Caddesi,,
Duran,Ebussuut Caddesi,,
Karadeniz Restaurant,Doktor Eminpaşa Sokak,0212 512 12 36,
Arsenal Cafe and Restaurant,Dr. Eminpaşa Sokak,,
Sultanahmet Halkin Koftecisi,Divan Yolu Caddesi,,
Firuz Aga Restaurant,Divan Yolu Caddesi,,
Semazen Cafe and Restaurant,Ticarethane Sokak,,
Nar Steak ve Doner Kebab Restaurant,Ticarethane Sokak,,
Khorasani Restaurant,Ticarethane Sokak,,
Semazen Restaurant,Ticarethane Sokak,,
Sura Restaurant,Ticarethane Sokak,,
N Terrace Restaurant,Ticarethane Sokak,,
Enjoyer cafe correcto Restaurant,Ticarethane Sokak,,
Erol Restaurant,Çatalçeşme Sokak,,
Deraliye Ottoman Cuisine Restaurant,Ticarethane Sokak,,
NAR restaurant,Ticarethane Sokak,,
Million Restaurant,Ticarethane Sokak,,
Mozaik Cafe and Restaurant,Ticarethane Sokak,,
Rumeli Cafe Restaurant,İncili Çavuş Sokak,,
Kucuk Ev Cafe and Restaurant,İncili Çavuş Sokak,,
Masal Restaurant,İncili Çavuş Sokak,,
Bodrum Cafe and Restaurant,Şeftali Sokak,,
Dubb Indian Restaurant,İncili Çavuş Sokak,,
Fuego Restaurant,İncili Çavuş Sokak,,
The Terrace Restaurant,Divan Yolu Caddesi,0212 511 65 29,
Tarihi Sultanahmet Köftecisi Selim Usta,Divan Yolu Caddesi,,
Can Restoran,Divan Yolu Caddesi,,
Hafız Mustafa,Divan Yolu Caddesi,,
Pudding Shop Lale Restaurant,Divan Yolu Caddesi,,
Meşhur Sultanahmet Köftecisi,Divan Yolu Caddesi,,
Sultan Restoran,Şeftali Sokak,,
Omar Cafe and Restaurant,Şeftali Sokak,,
Altin Kupa Restaurant,Yerebatan Caddesi,,
Mr cook Cafe Restaurant,Molla Feneri Sokak,,
Hazal Börek Salonu,Nuru Osmaniye Caddesi,,
Ziya Dürüm Evi,Bab-ı Ali Caddesi,,
Sultanahmet Fish House,Prof. Kazım İsmail Gürkan Caddesi,,
Arden Teras,Prof. Kazım İsmail Gürkan Caddesi,,
Kosk Kebap Durum Evi,Alayköşkü Caddesi,,
Sırevi Restaurant,Çatalçeşme Sokak,,
Sultan Saray,Hoca Rüstem Sokak,,
House of Medusa,Yerebatan Caddesi,0212 511 41 16,
Sahre Et Kebap Restaurant,Yerebatan Caddesi,,
Kybele Restaurant,Yerebatan Caddesi,,
360 Panorama Cihannuma Restaurant,Yerebatan Caddesi,0212 520 76 76,
Boterra,Yerebatan Caddesi,,
Barbeku House,Yerebatan Caddesi,0212 511 03 61,
Alemdar Restaurant and Cafe,Alemdar Caddesi,,
Efezade Restaurant Cafe Turkish Delight,Alemdar Caddesi,,
Edun büfe,Alayköşkü Caddesi,,
El Pescador RESTAURANT,Güzelsanatlar Sokak,0212 514 88 99,
Kucukoglu barbecue restaurant,Zeynep Sultan Camii Sokak,,
Ziya Sark Sofrasi,Alayköşkü Caddesi,,
Amedros Cafe and Restaurant,Hoca Rüstem Sokak,,
Faros Restaurant Cafe,Divan Yolu Caddesi,,
Ali Usta,Divan Yolu Caddesi,,
cozy pizza pide,Bestekar Osman Sokak,,
Kenger Home Made,Bestekar Osman Sokak,,
Massa Bistro,Biçki Yudru Sokak,,
Sultan Saray Cafe Restaurant,Çatalçeşme Sokak,,
Karadeniz kardeşler pide kebab salonu,Biçki Yudru Sokak,,
Aras Cafe Restaurant,Bestekar Osman Sokak,,
Zamos Cafe and Restaurant,Bestekar Osman Sokak,,
Baran 2 Restoran,Divan Yolu Caddesi,,
Karadeniz Aile Pide and Kebab Restaurant,Biçki Yudru Sokak,,
Alaturka Cuisine Cafe and Restaurant,Dr. Eminpaşa Sokak,,
Akraba Köfteci,Himaye-İ Eftal Sokak,,
Ateş Büfe,Himaye-İ Eftal Sokak,,
Kardesler Resteurant,Himaye-İ Eftal Sokak,,
Kofteci Ramiz,Himaye-İ Eftal Sokak,,
Sefa Restaurant,Nuru Osmaniye Caddesi,,
Buhara Ocakbaşı Restaurant,Nuru Osmaniye Caddesi,,
El Amed Terrace Restaurant,Nuru Osmaniye Caddesi,,
Ayasofya Kebap House,Çatalçeşme Sokak,,
Sultan ahmet köftecisi turşu depo,Çatalçeşme Sokak,,
Sultanahmet köftecisi depo,Çatalçeşme Sokak,,
Yarenler Cafe and Restaurant,Çatalçeşme Sokak,,
Lekker,Çatalçeşme Sokak,,
Değirmencioğlu,Himaye-İ Eftal Sokak,,
Kofteci Ramiz,Bab-ı Ali Caddesi ve Himaye-İ Eftal Sokak,,
New Asian Restaurant,Bab Ali Caddesi ve Çatalçeşme Sokak,,
Üçler Urfa Kebab Salonu,Başvekil Caddesi,,
Kardeşler Yemek,Başvekil Caddesi,,
Çapa Dürüm Kebab,Başvekil Caddesi,,
Konyalı Gurme,Başvekil Caddesi,,
Ehlihan Restaurant,Başvekil Caddesi,,
Ahmet usta dürüm,Vefa caddesi,,
Afacan büfe,Vefa caddesi,,
Hanedan kebap,Revani celebi sokağı,,
Vefa restaurant ve kafe,Cemal yener tosyallı caddesi,,
Unkapanı pilavcısı,,,
Direklerarası Kebap Salonu,şehzadebaşı caddesi,(0212) 522 68 30,
Kadeli büfe,16 Mart Şehitleri Caddesi,,
Döner,Bozdoğan kemeri caddesi,,
Vezneciler pilavcısı,Bozdoğan kemeri caddesi,,
Allı börek,Cemil birsel caddesi,,
Özen lokantası,Cemil birsel caddesi,,
Şehri saadet,Fetva ykş,,
Sefa i han,Fetva ykş,,
Arya longue,Fetva Yks.,05050997879,
Kösem Sultan,Fetva ykş,,
Sezgin döner,Fetva ykş,,
Marmara döner,,,
Şen büfe,Mimar vedat sokak,,
Sultan hamam,Büyük postane caddesi,,
Çağaloğlu,Büyük postane caddesi,,
Safranbolu pide,Büyük postane caddesi,,
Lokanta,Büyük postane caddesi,,
Tat Sarıoğlu,,,
Ehlihan,Sultan hamam caddesi,,
Kakşioğlu kafeterya,Yeni cami caddesi,,
Öz Karadeniz pide,Yeni cami caddesi,,
Taş fırın,Aşir efendi caddesi,,
Marmara,Ankara caddesi,,
Babı ali restaurant,Ankara caddesi,,
Koska Köftecisi,,,
Vanlı oğlu kebap,Hacı Kadın Caddesi,,
Sarıyer börekçisi,Arpacılar caddesi,,
Yemek odası restaurant,Reşadiye caddesi,,
Ozbasak,Yalı köşkü caddesi,,
Gungenci,Yalı köşkü caddesi,,
Bolulu Hasan Usta,Ankara caddesi,,
Konyalı,Ankara caddesi,,
Faruk Güllüoğlu,Ankara caddesi,,
Rumeli çikolata,Ankara caddesi,,
Acemoğlu baklavaları,Ankara caddesi,,
Daruzziyafe turkish resturant,Sifahane caddesi,,
Vanlioglu,Hacı Kadın Caddesi,,
Ercanlar,Hacı Kadın Caddesi,,
Kaytas,Küçük Pazar Caddesi,,
Mini market,Küçük Pazar Caddesi,,
Kadioglu kofte salonu,Küçük Pazar Caddesi,,
Eda bufe,Küçük Pazar Caddesi,,
Sadikogullari,Küçük Pazar Caddesi,,
Antipliogulu,Küçük Pazar Caddesi,,
Azimet Et Lokantasi,Küçük Pazar Caddesi,,
Kebap Evi,Kucuk pazar caddesi,,
Burgerillas,Kalcin sokak,,
Cookland,Yeni Cami caddesi,,
Resturant,Bankacilar sokak,,
Cesme cihan,Yokus cesmesi sokak,,
Damak kebap,Yokus cesmesi sokak,,
Ahtim,Yokus cesmesi sokak,,
Kardes bufe,Yokus cesmesi sokak,,
Point manti,Etyemez tekkesi sokak,,
Ikizler pilavci,koca mustafapasa caddesi,,
Is doner,koca mustafapasa caddesi,,
Catkapi ev yemek,koca mustafapasa caddesi,,
Gaziantepli Usta,koca mustafapasa caddesi,,
Ziyada ev yemek,koca mustafapasa caddesi,,
Tanton usta,koca mustafapasa caddesi,,
Unkapanı Pilavcı,Koca Mustafapaşa Caddesi,,
İkizler Pilavcı,koca mustafapasa caddesi,,
Kosek and cafe,koca mustafapasa caddesi,,
Jalal,koca mustafapasa caddesi,,
Pilavcı Yegit,Hakimoglu Ali pasa caddesi,,
Fırat Kepab,Hekimoğlu Ali Paşa Caddesi,,
Tarihi dagkapi,Kizilama caddesi,,
Hacioglarri,Kizilama caddesi,,
Buylu Mutfak,Kizilama caddesi,,
Fonyali,Kizilama caddesi,,
Pasem kepeb,Hakimoglu Ali pasa caddesi,,
Pasa doner,koca mustafapasa caddesi,,
Samatya coftecesi,Org.abdurrahman nafiz gurman caddesi,,
Fasuli,Küçük Langa caddesi,,
Durmce,Org.abdurrahman nafiz gurman caddesi,,
Giger kepeb,Org.abdurrahman nafiz gurman caddesi,,
Resturant,Sekbanpasa sokak,,
Ocakpasi,Dibekli Cami sokak,,
Yemek salonu,Biyazit karakol sokak,,
Çavuşoğlu,sair fitnat sokak,,
Yunus,Kiziltas sokak,,
Destina Çiğ Köfte,Hacı Kadın Caddesi,,
Osmanlı Tulumbacısı ve Baklava,Koca Mustafapaşa Caddesi,,
Sirri Usta Çigköfte,Koca Mustafapaşa Caddesi,,
Dürümcü Kerem,Koca Mustafapaşa Caddesi,,
Volkan Köfte ve Döner Salonu,Koca Mustafapaşa Caddesi,,
Pashaa Kokoreç,Koca Mustafapaşa Caddesi,,
Tubaz Odunlu Taş fırını,Ali Fakih Caddesi,,
Oses Çiğköfte,Ali Fakih Caddesi,,
Mevzubahis Çiğköfte,Ali Fakih Caddesi,,
Meşhur Çiğköfteci Hasan Usta,Hacı Kadın Caddesi,,
Antep Sofrası,Ağaçkakan Sokağı,5866224,
Aşkla Pasta Cafe,Ağaçkakan Sokağı,,
Palmyra Syrian Restaurant,Vidinli Tevfik Paşa Caddesi,,
Zurich Restaurant,Vidinli Tevfik Paşa Caddesi,,
Tuğra turkish coffee turkish delight,Vidinli Tevfikpaşa Caddesi,,
Klas restaurant,Vidinli Tevfikpaşa Caddesi,,
Express Restaurant and Pub,Büyük Reşitpaşa Caddesi,,
Direklerarası Sofrası,Büyük Reşitpaşa Caddesi,,
Şehzade Börek,Büyük Reşitpaşa Caddesi,,
Sadık Ev Yemekleri,Büyük Reşitpaşa Caddesi,,
Gala Kokoreç,Büyük Reşitpaşa Caddesi,,
İnci Cafe Restaurant,Büyük Reşitpaşa Caddesi,,
Eyfel restaurant,Kurultay Sokağı,,
Laleli Sultan Turkish Delight,Harikzedeler Sokağı,,
Hotel Kaya Restaurant,Zeynep Kamil Sokağı,,
Lalen Restaurant,Zeynep Kamil Sokağı,,
Tarihi Unkapanı Pilavcısı,Darülfünun Caddesi,,
Koska,Ordu Caddesi,,
Satır Köfte,İsmetiye Caddesi,,
Bosnak Börekçi,Fuat Paşa Caddesi,,
Bakırcılar Lokantası,Fuat Paşa Caddesi,,
Köfte,Tacirhane Sokağı,,
Öz Sultanahmet Köftecisi,Uzun Çarşı Caddesi,,
Turko Baba Turkish Delight,Uzun Çarşı Caddesi,,
Nevzat Usta,Paşa Cami Sokağı,,
Anteplioğlu Baklavacı,Hızır Çavuş Köprübaşı Sokağı,,
Urfam Kebap Döner,Ayan Caddesi,,
Dondurma,Sultan Çeşmesi Caddesi,,
Dönerim,Ayan Caddesi,,
Meşhur Kır Pidesi,Ayan Caddesi,,
İstanbul Ciğercisi,Ayan Caddesi,,
Altınay Yufkacısı,Çakırağa Ykş.,,
Altınay Kebap Ve Lahmacun,Salma Tomruk Caddesi,,
Ak Çiçek Mangal,Salma Tomruk Caddesi,,
Hakan Cafe Börek Salonu,Draman Caddesi,,
Cihan Tulumba Baklava,Lavanta Sokağı,,
Bozkurtlu Lokantası,Lavanta Sokağı,,
Çayada in balat,Mürselpaşa Caddesi,,
Beyaz geceler restaurant,Tiryaki hasanpaşa sokağı,,
Molino pizza,Tiryaki hasanpaşa sokağı,,
37 sultan restaurant,Valide cami sokağı,,
Yakamoz restaurant,Valide cami sokağı,,
Balkan lokantası,Valide cami sokağı,,
Kebap dünyası,Valide cami sokağı,,
