İsim,Adres,Telefon,E-posta
Mylos Ayvalık Cunda Mutfağı,Adres yok,Numara yok,E-posta yok
Fül Fül Çorba,Kurbağalıdere Caddesi,Numara yok,E-posta yok
Haçapuri,Fahrettin Kerim Gökay Caddesi,+90 216 450 23 00,E-posta yok
Nebyan,Rüştiye Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Ruşen Ağa Sokağı,+902163362366,E-posta yok
Maison 39,Andelip Esat Sokağı,Numara yok,E-posta yok
Kalarmaria,Dr. Faruk Ayanoğlu Caddesi,Numara yok,E-posta yok
Matters Suadiye,Pembe Gül Sokağı,Numara yok,E-posta yok
Razaki,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Tatar Salim,Caddebostan İskele Sokağı,Numara yok,E-posta yok
Selfish Tapas Food & Wine,Adres yok,Numara yok,E-posta yok
Mutfak Koz,Kaya Sultan Sokağı,+90 551 636 4455,E-posta yok
Bizimkiler Ev Yemekleri,Adres yok,+90 554 3315568,E-posta yok
Çosa,Saniye Ermutlu Sokağı,Numara yok,E-posta yok
Nello's,Ethem Efendi Caddesi,Numara yok,E-posta yok
Beltur,Adres yok,Numara yok,E-posta yok
Meylihane,Adres yok,Numara yok,E-posta yok
Saca Marin,Münir Nürettin Selçuk Caddesi,+902163385959,E-posta yok
Hasan Usta Kebap,Adres yok,Numara yok,E-posta yok
Bakıroğlu Gurme,Prof. Dr. Ali Nihat Tarlan Caddesi,Numara yok,E-posta yok
Suhan Kebap,İnönü Caddesi,Numara yok,E-posta yok
Tok BBQ,Caddebostan İskele Sokağı,Numara yok,E-posta yok
Safran Restsurant,Adres yok,Numara yok,E-posta yok
FABESCO CAFE & RESTAURANT,Adres yok,Numara yok,E-posta yok
Magnus,Adres yok,Numara yok,E-posta yok
HD İskender,Adres yok,Numara yok,E-posta yok
Abooov Kebap,Sarayardı Caddesi,Numara yok,E-posta yok
Akoğuz Izgara ve Ev Yemekleri,Adres yok,Numara yok,E-posta yok
PALEGG,Adres yok,Numara yok,E-posta yok
Happu Antakya-Fine Food,Yeni Yol Sokağı,+90 542 837 16 89,happuantakya@gmail.com
Mantımia,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Havva Hanım Erenköy Kahvaltı,Şemsettin Günaltay Caddesi,Numara yok,E-posta yok
Café Zanzibar,Adres yok,Numara yok,E-posta yok
Bedri Usta,Adres yok,Numara yok,E-posta yok
Koço,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Paysage,Adres yok,Numara yok,E-posta yok
Develi Marin,Adres yok,Numara yok,E-posta yok
Posh,Adres yok,Numara yok,E-posta yok
Agapia Meyhanesi,Kadife Sokağı,Numara yok,E-posta yok
Develi Kebap Kalamış,Adres yok,Numara yok,E-posta yok
Divan Brasserie Kalamış,Adres yok,Numara yok,E-posta yok
Hai! Sushi,Adres yok,Numara yok,E-posta yok
Todori,Adres yok,Numara yok,E-posta yok
KA'hve,Adres yok,Numara yok,E-posta yok
Cundacı,Adres yok,Numara yok,E-posta yok
Develi Kalamış,Adres yok,Numara yok,E-posta yok
Happy Moon's Fenerbahçe,Adres yok,Numara yok,E-posta yok
Midpoint,Fener Kalamış Caddesi,Numara yok,E-posta yok
Beer's,Adres yok,Numara yok,E-posta yok
Yemekhane,Adres yok,Numara yok,E-posta yok
Ceviz Ağacı,Adres yok,0216 212 0818,E-posta yok
Nurten Ev Yemekleri,Emin Ali Paşa Caddesi,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Milos Restaurant,Adres yok,+90 (216) 350 00 83,E-posta yok
Kokomusti,Adres yok,Numara yok,E-posta yok
Taunt Potato Club,Dr. İhsan Ünlüer Sokak,+90 216 969 62 85,E-posta yok
Fetici,Adres yok,Numara yok,E-posta yok
Agapia Meyhanesi,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Tenis Cafe,Adres yok,Numara yok,E-posta yok
Beltur Restaurant,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
Eda Kebap,Kaya Sultan Sokağı,Numara yok,E-posta yok
Bilinmiyor,Adres yok,Numara yok,E-posta yok
