Adı,Adres,Telefon,Web Sitesi,E-posta,Google Maps Link
Kebapçı Bayram Usta,"Sahil, Millet Cd. No:2/a, 41090, 41000 Başiskele/Kocaeli",0537 236 17 41,https://instagram.com/kebapcibayramusta41,E-posta bulunamadı,https://www.google.com/maps/place/Kebap%C3%A7%C4%B1+Bayram+Usta/data=!4m7!3m6!1s0x14cb45800c092247:0xed5e5bea3e1c74ec!8m2!3d40.7149236!4d29.9320445!16s%2Fg%2F11tmswdl8s!19sChIJRyIJDIBFyxQR7HQcPupbXu0?authuser=0&hl=tr&rclk=1
Tatlıcı Mahmut Usta BAŞİSKELE,"Körfez mah, karşıyaka, Mahmut Çavuş Cd. No :28, 41245 Başiskele/Kocaeli",0542 528 46 93,http://www.tatlicimahmutusta.com/,info@tatlicimahmutusta.com,https://www.google.com/maps/place/Tatl%C4%B1c%C4%B1+Mahmut+Usta+BA%C5%9E%C4%B0SKELE/data=!4m7!3m6!1s0x14cb45271a88083d:0x6d826918d85a94fb!8m2!3d40.7095263!4d29.9232752!16s%2Fg%2F11p04tvhbf!19sChIJPQiIGidFyxQR-5Ra2Bhpgm0?authuser=0&hl=tr&rclk=1
Harmanda Döner,"Yeşilyurt mahallesi Hoca Ahmet Yesevi Caddesi no:302, Izmit, Yuvacık Sapağından, yuvacık Barajına Doğru çıkarken 100 Metre ileride Sol'da, 41190 Başiskele/Kocaeli",0541 841 78 40,https://harmandadoner.com/,Site hatası,https://www.google.com/maps/place/Harmanda+D%C3%B6ner/data=!4m7!3m6!1s0x14cb453a81996b7d:0x2da05ee6cba6dbe9!8m2!3d40.7184755!4d29.948315!16s%2Fg%2F11wg4z8jrm!19sChIJfWuZgTpFyxQR6dumy-ZeoC0?authuser=0&hl=tr&rclk=1
Tantuniciismail,"Barbaros, Eyüp Sultan Cd. No:16, 41001 Başiskele/Kocaeli",(0262) 343 33 10,N/A,Web sitesi yok,https://www.google.com/maps/place/Tantuniciismail/data=!4m7!3m6!1s0x14cb452b1732e5a3:0x77e14f8a732a991e!8m2!3d40.7115227!4d29.9276817!16s%2Fg%2F11hf01jnsq!19sChIJo-UyFytFyxQRHpkqc4pP4Xc?authuser=0&hl=tr&rclk=1
Ekleristan Yuvacık,"Yeşilyurt, 17 Ağustos Sk. 38/A, 41190 Başiskele/Kocaeli",0541 136 41 00,N/A,Web sitesi yok,https://www.google.com/maps/place/Ekleristan+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb4fd9d213554b:0xa931dd56509b435d!8m2!3d40.7206236!4d29.9518127!16s%2Fg%2F11rq1s0ld0!19sChIJS1UT0tlPyxQRXUObUFbdMak?authuser=0&hl=tr&rclk=1
Burger House,"Ovacık, Adapazarı İzmit Yolu No:36, 41140 Başiskele/Kocaeli",(0262) 502 03 95,N/A,Web sitesi yok,https://www.google.com/maps/place/Burger+House/data=!4m7!3m6!1s0x14cb50037790ffa1:0xa63a9384d78c7b6a!8m2!3d40.7585488!4d29.9790552!16s%2Fg%2F11c37ls02b!19sChIJof-QdwNQyxQRanuM14STOqY?authuser=0&hl=tr&rclk=1
Değirmen Kebap,"Barbaros, Atatürk Cd. No:19, 41090 Başiskele/Kocaeli",(0262) 343 41 61,N/A,Web sitesi yok,https://www.google.com/maps/place/De%C4%9Firmen+Kebap/data=!4m7!3m6!1s0x14cb44f56d25359b:0x3876b90e3605c234!8m2!3d40.7117976!4d29.9291845!16s%2Fg%2F11cnbk3733!19sChIJmzUlbfVEyxQRNMIFNg65djg?authuser=0&hl=tr&rclk=1
Karaaslan Kamping & Bungalow Otel & Restaurant,"Servetiye Cami Köyü, Yuvacık Yakacık, Baraj Yolu 8. Km, 41090 Başiskele/Kocaeli",(0262) 345 01 07,https://www.karaaslankamping.com/,bilgi@karaaslankamping.com,https://www.google.com/maps/place/Karaaslan+Kamping+%26+Bungalow+Otel+%26+Restaurant/data=!4m10!3m9!1s0x14cb429555555555:0xe809652244943cd9!5m2!4m1!1i2!8m2!3d40.640505!4d29.941586!16s%2Fg%2F1tg83_4x!19sChIJVVVVVZVCyxQR2TyURCJlCeg?authuser=0&hl=tr&rclk=1
Kullar Balıkçı Dörtyol Balık Restoran,"Yakacık Mah.Yakacık Cad Paşazade Sk No:1 Kullar Mah, 41320 Başiskele/Kocaeli",0542 604 00 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Kullar+Bal%C4%B1k%C3%A7%C4%B1+D%C3%B6rtyol+Bal%C4%B1k+Restoran/data=!4m7!3m6!1s0x14cb5ac5409c242b:0x76578cc0dc18d56!8m2!3d40.722423!4d29.987046!16s%2Fg%2F11gd67tchg!19sChIJKyScQMVayxQRVo3BDcx4ZQc?authuser=0&hl=tr&rclk=1
Cadde Katık Yuvacık,"Yeşilyurt, Mahmutpaşa Cd No:4/A, 41190 Başiskele/Kocaeli",0543 431 41 00,N/A,Web sitesi yok,https://www.google.com/maps/place/Cadde+Kat%C4%B1k+Yuvac%C4%B1k/data=!4m7!3m6!1s0x14cb453a878c9b75:0x8516f1ae0581c10d!8m2!3d40.7225497!4d29.9509507!16s%2Fg%2F11r_fczs09!19sChIJdZuMhzpFyxQRDcGBBa7xFoU?authuser=0&hl=tr&rclk=1
Lokanta Nizam,"Vezirçiftliği, Eroğlu Sk., 41140 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Lokanta+Nizam/data=!4m7!3m6!1s0x14cb454381c7236b:0x5d0b02879f8c60d0!8m2!3d40.7463176!4d29.9564644!16s%2Fg%2F11h27x48jk!19sChIJayPHgUNFyxQR0GCMn4cCC10?authuser=0&hl=tr&rclk=1
Alaturka Osmanlı Lahmacun,"Karadenizliler, Aşağı Yuvacık Barbaros Cad. 35/C, 41140 Başiskele/Kocaeli (Izmit)",(0262) 344 38 51,N/A,Web sitesi yok,https://www.google.com/maps/place/Alaturka+Osmanl%C4%B1+Lahmacun/data=!4m7!3m6!1s0x14cb45461d874c89:0xeb8686e052ef8352!8m2!3d40.7416108!4d29.9624862!16s%2Fg%2F11h168x37!19sChIJiUyHHUZFyxQRUoPvUuCGhus?authuser=0&hl=tr&rclk=1
Yeni Tadım Kebap Pide ve Lahmacun Salonu,"Yeşilyurt, Çuhadar Cd. No:8, 41190 Başiskele/Kocaeli",(0262) 344 39 70,N/A,Web sitesi yok,https://www.google.com/maps/place/Yeni+Tad%C4%B1m+Kebap+Pide+ve+Lahmacun+Salonu/data=!4m7!3m6!1s0x14cb44e059c8dbad:0xb0361b7961f43e39!8m2!3d40.7208285!4d29.9488081!16s%2Fg%2F1tf1kw0p!19sChIJrdvIWeBEyxQROT70YXkbNrA?authuser=0&hl=tr&rclk=1
SERVETİYE ALABALIK ÜRETİM RESTORAN KAMP VE PİKNİK ALANI,"Servetiye Cami, köyü, 41190 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/SERVET%C4%B0YE+ALABALIK+%C3%9CRET%C4%B0M+RESTORAN+KAMP+VE+P%C4%B0KN%C4%B0K+ALANI/data=!4m7!3m6!1s0x14cb427db5611b91:0xb2a8f4c0b399e600!8m2!3d40.625675!4d29.9279659!16s%2Fg%2F11c48ph5r6!19sChIJkRthtX1CyxQRAOaZs8D0qLI?authuser=0&hl=tr&rclk=1
Packet Burger,"Ovacık, 41140 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Packet+Burger/data=!4m7!3m6!1s0x14cb512140bfdab5:0x1513562a66dc370e!8m2!3d40.7579636!4d29.9795393!16s%2Fg%2F11fj_knr6s!19sChIJtdq_QCFRyxQRDjfcZipWExU?authuser=0&hl=tr&rclk=1
Harmantepe Aile Piknik Restaurant,"Yuvacık Yakacık, 41090 Başiskele/Kocaeli",0507 364 44 00,N/A,Web sitesi yok,https://www.google.com/maps/place/Harmantepe+Aile+Piknik+Restaurant/data=!4m7!3m6!1s0x14cb431f3819210b:0xc2fe8ab82a01530a!8m2!3d40.6528795!4d29.9493166!16s%2Fg%2F11g9dw0c68!19sChIJCyEZOB9DyxQRClMBKriK_sI?authuser=0&hl=tr&rclk=1
Kebapçım by gusta,"Ovacık, D100 no:34 Symbol Avm, 41190 Başiskele/Kocaeli",0507 722 68 59,N/A,Web sitesi yok,https://www.google.com/maps/place/Kebap%C3%A7%C4%B1m+by+gusta/data=!4m7!3m6!1s0x14cb51132bfe6b8b:0x19696a3d6ac1e97e!8m2!3d40.7585913!4d29.9790307!16s%2Fg%2F11kr9nz52g!19sChIJi2v-KxNRyxQRfunBaj1qaRk?authuser=0&hl=tr&rclk=1
BAŞİSKELE GECE DÖNERİ,"Körfez, Oğuzhan Sk. No:11, 41245 Başiskele/Kocaeli",0538 662 41 00,N/A,Web sitesi yok,https://www.google.com/maps/place/BA%C5%9E%C4%B0SKELE+GECE+D%C3%96NER%C4%B0/data=!4m7!3m6!1s0x14cb450042526369:0x4cd4933c7b8272a!8m2!3d40.7133387!4d29.9154359!16s%2Fg%2F11y4krqgdn!19sChIJaWNSQgBFyxQRKie4xzNJzQQ?authuser=0&hl=tr&rclk=1
Köfteci Yusuf,"Sanayi, Ömer Türkçakal Blv. 8/4, 41040 Başiskele/Kocaeli",Telefon Yok,https://www.kofteciyusuf.com/,Siteye erişilemedi,https://www.google.com/maps/place/K%C3%B6fteci+Yusuf/data=!4m7!3m6!1s0x14cb4566698cfc97:0xe94aae6a2f865d05!8m2!3d40.7533908!4d29.9451767!16s%2Fg%2F11c59_f_0v!19sChIJl_yMaWZFyxQRBV2GL2quSuk?authuser=0&hl=tr&rclk=1
PİLAVCI Teyze Oğulları,"Barbaros, Pınar Cd. No:51, 41090, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/P%C4%B0LAVCI+Teyze+O%C4%9Fullar%C4%B1/data=!4m7!3m6!1s0x14cb45211ce2cb33:0x1490fb69c9012fc4!8m2!3d40.7112286!4d29.9324636!16s%2Fg%2F11flc178n_!19sChIJM8viHCFFyxQRxC8ByWn7kBQ?authuser=0&hl=tr&rclk=1
Mini Köşk,"Ovacık, D100 26a, 41140 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Mini+K%C3%B6%C5%9Fk/data=!4m7!3m6!1s0x14cb51b7c16a2e4d:0xfbc32f99888f4d5e!8m2!3d40.7596502!4d29.9765383!16s%2Fg%2F11ny04mlpb!19sChIJTS5qwbdRyxQRXk2PiJkvw_s?authuser=0&hl=tr&rclk=1
Pideci Hasan - Bahçecik Karadeniz Pide ve Lahmacun Salonu - SEYMEN,"Seymen, Hürriyet Cd. No:8, 41245 Başiskele/Kocaeli",(0262) 343 44 55,https://pidecihasan.com/,E-posta bulunamadı,https://www.google.com/maps/place/Pideci+Hasan+-+Bah%C3%A7ecik+Karadeniz+Pide+ve+Lahmacun+Salonu+-+SEYMEN/data=!4m7!3m6!1s0x14cb4412c51cfb09:0x350f0d451b529e8d!8m2!3d40.7096952!4d29.9037059!16s%2Fg%2F11c0t91b1y!19sChIJCfscxRJEyxQRjZ5SG0UNDzU?authuser=0&hl=tr&rclk=1
Terra Pizza Başiskele,"Yeşilyurt, Hoca Ahmet Yesevi Cd. NO:310/A, 41190 Başiskele/Kocaeli",(0262) 324 42 20,https://www.terrapizza.com.tr/restoranlarimiz,ornek@terrapizza.com,https://www.google.com/maps/place/Terra+Pizza+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb457c1058898f:0x648bfaa636212b23!8m2!3d40.7190851!4d29.9481634!16s%2Fg%2F11b6j01dph!19sChIJj4lYEHxFyxQRIyshNqb6i2Q?authuser=0&hl=tr&rclk=1
CADDE KATIK DÖNER BAŞİSKELE,"Barbaros, Pınar Cd. No:13/D, 41090 Başiskele/Kocaeli",0536 223 42 22,http://caddekatikbasiskele.com/?utm_source=gmb&utm_medium=referral,Site hatası,https://www.google.com/maps/place/CADDE+KATIK+D%C3%96NER+BA%C5%9E%C4%B0SKELE/data=!4m7!3m6!1s0x14cb4460119623d7:0xd6a1b7da63ca4ba!8m2!3d40.7102127!4d29.9266986!16s%2Fg%2F11gxrnmdjd!19sChIJ1yOWEWBEyxQRuqQ8pn0bag0?authuser=0&hl=tr&rclk=1
YILDIZ BÜFE DÖNER-KÖFTE-TOST,"Vezirçiftliği, Körfez Sk. No:19, 41140 Başiskele/Kocaeli",(0262) 349 44 00,N/A,Web sitesi yok,https://www.google.com/maps/place/YILDIZ+B%C3%9CFE+D%C3%96NER-K%C3%96FTE-TOST/data=!4m7!3m6!1s0x14cb45446746e8f7:0x732b3b7b3a5f2625!8m2!3d40.74545!4d29.957981!16s%2Fg%2F11bxb9qy9b!19sChIJ9-hGZ0RFyxQRJSZfOns7K3M?authuser=0&hl=tr&rclk=1
Serin dere köyü sosyal tesisleri,"Serindere, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Serin+dere+k%C3%B6y%C3%BC+sosyal+tesisleri/data=!4m7!3m6!1s0x14cb5dbb9accff81:0xc023f571b23bfb54!8m2!3d40.6345274!4d30.0017313!16s%2Fg%2F11t4x2vv8d!19sChIJgf_MmrtdyxQRVPs7snH1I8A?authuser=0&hl=tr&rclk=1
Yuvacık Packet Burger,"Yaylacık, Hürler Cd. NO:268 G, 41190 Başiskele/Kocaeli",0501 052 33 43,https://www.packetburger.com/,E-posta bulunamadı,https://www.google.com/maps/place/Yuvac%C4%B1k+Packet+Burger/data=!4m7!3m6!1s0x14cb4597d14c65cf:0x532fda6ab0c51663!8m2!3d40.7211209!4d29.967923!16s%2Fg%2F11l2288mjl!19sChIJz2VM0ZdFyxQRYxbFsGraL1M?authuser=0&hl=tr&rclk=1
Gül’ün Mutfağı,"Serdar Mahallesi Yavuz Caddesi, Yeni, Belediye Karşısı No:6/A, 41090 Başiskele/Kocaeli",0542 669 67 02,N/A,Web sitesi yok,https://www.google.com/maps/place/G%C3%BCl%E2%80%99%C3%BCn+Mutfa%C4%9F%C4%B1/data=!4m7!3m6!1s0x14cb453466b7eaf3:0x4b739c9e70fad5e8!8m2!3d40.7138782!4d29.9351508!16s%2Fg%2F11rkcfzzcv!19sChIJ8-q3ZjRFyxQR6NX6cJ6cc0s?authuser=0&hl=tr&rclk=1
Pizzaköy İzmit Yahyakaptan Şubesi,"Yenişehir, Demokrasi Cd. No: 80/A, 41050 İzmit/Kocaeli",0536 321 28 40,N/A,Web sitesi yok,https://www.google.com/maps/place/Pizzak%C3%B6y+%C4%B0zmit+Yahyakaptan+%C5%9Eubesi/data=!4m7!3m6!1s0x14cb4fbdebb50811:0x5d39992d80cc9879!8m2!3d40.7634597!4d29.9609022!16s%2Fg%2F11t9q59cdq!19sChIJEQi1671PyxQReZjMgC2ZOV0?authuser=0&hl=tr&rclk=1
Little Caesars Başiskele Şubesi,"Yeşilyurt, Hürler Cd. No:258D, 41190 Başiskele/Kocaeli",(0262) 999 68 61,https://www.littlecaesars.com.tr/?utm_source=GMB&utm_medium=local&utm_campaign=LC-Kocaeli-Basiskele-Profile-Click,E-posta bulunamadı,https://www.google.com/maps/place/Little+Caesars+Ba%C5%9Fiskele+%C5%9Eubesi/data=!4m7!3m6!1s0x14cb4547d0856619:0xc05ce34b030b4526!8m2!3d40.71997!4d29.968667!16s%2Fg%2F11w1cpkr7q!19sChIJGWaF0EdFyxQRJkULA0vjXMA?authuser=0&hl=tr&rclk=1
Şahbaz Katık Dürüm,"Vezirçiftligi Mahallesi d-130 karayolu cad no 200 a, 41140 Başiskele/Kocaeli",0545 876 54 24,N/A,Web sitesi yok,https://www.google.com/maps/place/%C5%9Eahbaz+Kat%C4%B1k+D%C3%BCr%C3%BCm/data=!4m7!3m6!1s0x14cb46b6e45ef517:0x5f9cab7ccc107f6b!8m2!3d40.7454781!4d29.9568053!16s%2Fg%2F11df63mlqd!19sChIJF_Ve5LZGyxQRa38QzHyrnF8?authuser=0&hl=tr&rclk=1
Antepkale Kebap,"Yenişehir, Demokrasi Cd. No:66, 41050 İzmit/Kocaeli",(0262) 313 00 33,N/A,Web sitesi yok,https://www.google.com/maps/place/Antepkale+Kebap/data=!4m7!3m6!1s0x14cb4f087e8748d9:0x42fa3ecaec0a6cca!8m2!3d40.7633955!4d29.9633406!16s%2Fg%2F11p5qlx2m2!19sChIJ2UiHfghPyxQRymwK7Mo--kI?authuser=0&hl=tr&rclk=1
GREEN SALADS SYMBOL AVM,"Ovacık, 41140 Başiskele/Kocaeli",(0262) 502 30 22,N/A,Web sitesi yok,https://www.google.com/maps/place/GREEN+SALADS+SYMBOL+AVM/data=!4m7!3m6!1s0x14cb51c82f18b449:0xa5a58cc9d97c4734!8m2!3d40.7586859!4d29.9794421!16s%2Fg%2F11h7kswmy6!19sChIJSbQYL8hRyxQRNEd82cmMpaU?authuser=0&hl=tr&rclk=1
Katmışlar Yemek Hizmetleri,"Karadenizliler, Sayı Sk. No:5, 41300 Başiskele/Kocaeli",(0262) 335 49 09,http://www.katmislaryemek.com/,"info@katmislaryemek.com, katmislaryemek@hotmail.com",https://www.google.com/maps/place/Katm%C4%B1%C5%9Flar+Yemek+Hizmetleri/data=!4m7!3m6!1s0x14cb457cf7f44079:0x4644a06c286ea995!8m2!3d40.7513542!4d29.9610469!16s%2Fg%2F11fqhbw7qh!19sChIJeUD093xFyxQRlaluKGygREY?authuser=0&hl=tr&rclk=1
Maçka İşkembe,"Yenişehir, Demokrasi Cd. No:74, 41050 İzmit/Kocaeli",(0262) 313 00 11,http://www.macka.com.tr/,info@macka.com.tr,https://www.google.com/maps/place/Ma%C3%A7ka+%C4%B0%C5%9Fkembe/data=!4m7!3m6!1s0x14cb4ff07dc91143:0x9af16d88cbc1dcf8!8m2!3d40.763416!4d29.962055!16s%2Fg%2F1q66xsn89!19sChIJQxHJffBPyxQR-NzBy4ht8Zo?authuser=0&hl=tr&rclk=1
Trakya börekçisi,"Sanayi, 28 Mart Sk., 41140 Başiskele/Kocaeli",0532 450 74 64,http://trakyaborekcisi.com.tr/,"info@trakyaborekcisi.com, 8c4075d5481d476e945486754f783364@sentry.io, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 78f7996315bc402f9dcb8a2f974b82d1@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, trakyaborekcisi@gmail.com, 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com",https://www.google.com/maps/place/Trakya+b%C3%B6rek%C3%A7isi/data=!4m7!3m6!1s0x14cb4543c226c345:0x7b187f4227bc0ff7!8m2!3d40.7452203!4d29.9549499!16s%2Fg%2F11g9m5f4dm!19sChIJRcMmwkNFyxQR9w-8J0J_GHs?authuser=0&hl=tr&rclk=1
Alaçatı Muhallebicisi Kocaeli Symbol AVM,"Symbol Avm, Ovacık, D100 Üzeri No:34, 41140 Başiskele/Kocaeli",(0216) 325 10 79,http://www.alacatimuhallebicisi.com/,E-posta bulunamadı,https://www.google.com/maps/place/Ala%C3%A7at%C4%B1+Muhallebicisi+Kocaeli+Symbol+AVM/data=!4m7!3m6!1s0x14cb5002ee37e145:0xc0be0dad79b9e5f6!8m2!3d40.758992!4d29.979131!16s%2Fg%2F11c558kjkm!19sChIJReE37gJQyxQR9uW5ea0NvsA?authuser=0&hl=tr&rclk=1
Lotus Meat,"Yenişehir, Dönmez Sk., 41040 İzmit/Kocaeli",0506 871 49 28,https://lafloraotel.com/restaurant/lotus-1,info@lafloraotel.com,https://www.google.com/maps/place/Lotus+Meat/data=!4m7!3m6!1s0x14cb4f1eb6bbb193:0x9badc0bd4cce3c92!8m2!3d40.7658064!4d29.9660805!16s%2Fg%2F11hdjhm653!19sChIJk7G7th5PyxQRkjzOTL3ArZs?authuser=0&hl=tr&rclk=1
Vezir Döner,"Vezirçiftliği, Vezir Cd., 41140 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Vezir+D%C3%B6ner/data=!4m7!3m6!1s0x14cb454751de6523:0x8ce093fe26ccc207!8m2!3d40.739803!4d29.957169!16s%2Fg%2F11bycgcbp0!19sChIJI2XeUUdFyxQRB8LMJv6T4Iw?authuser=0&hl=tr&rclk=1
Serpmeköy Trabzon Köy Kahvaltısı,"Yenişehir, Demokrasi Cd. 68/A, 41050 İzmit/Kocaeli",(0262) 311 23 61,http://serpmekoy.com/,Site hatası,https://www.google.com/maps/place/Serpmek%C3%B6y+Trabzon+K%C3%B6y+Kahvalt%C4%B1s%C4%B1/data=!4m7!3m6!1s0x14cb4ffa8fec85f3:0x92ba4a928a867dc5!8m2!3d40.763348!4d29.9632864!16s%2Fg%2F11ggw7_3y9!19sChIJ84Xsj_pPyxQRxX2GipJKupI?authuser=0&hl=tr&rclk=1
Tavacı Recep Usta Kocaeli,"Self Office, Yenişehir, Konak Sk. 19C, 41050 İzmit/Kocaeli",0533 571 75 41,N/A,Web sitesi yok,https://www.google.com/maps/place/Tavac%C4%B1+Recep+Usta+Kocaeli/data=!4m7!3m6!1s0x14cb4fe4d2ec8285:0xfcb02d074f011551!8m2!3d40.7655862!4d29.9665036!16s%2Fg%2F11y63twf6g!19sChIJhYLs0uRPyxQRURUBTwctsPw?authuser=0&hl=tr&rclk=1
BURGER AMCA (Symbol Avm),"Ovacık Mah. D-100 Karayolu Cad. Symbol AVM, 41140 Başiskele/Kocaeli",(0262) 504 77 55,N/A,Web sitesi yok,https://www.google.com/maps/place/BURGER+AMCA+%28Symbol+Avm%29/data=!4m7!3m6!1s0x14cb51d5d6d47a33:0x2198745c05f99574!8m2!3d40.758029!4d29.9795779!16s%2Fg%2F11fqps53hf!19sChIJM3rU1tVRyxQRdJX5BVx0mCE?authuser=0&hl=tr&rclk=1
Yamaç Kamping,"Servetiye Cami, 41090 Başiskele/Kocaeli",0532 061 20 53,N/A,Web sitesi yok,https://www.google.com/maps/place/Yama%C3%A7+Kamping/data=!4m7!3m6!1s0x14cb42ebfbb4bc1d:0x3d8655f1d8a622b6!8m2!3d40.6355528!4d29.9455358!16s%2Fg%2F11c45ngttl!19sChIJHby0--tCyxQRtiKm2PFVhj0?authuser=0&hl=tr&rclk=1
HD İskender,"SYMBOL OVACIK MAHALLESİ D 100 KARAYOLU CADDESİ NO:34 SF BLOK NO:6 BAŞİSKELE / KOCAELİ (2. KAT, 41100 Başiskele/Kocaeli",444 1 262,http://hdiskender.com/,bilgi@hdiskender.com,https://www.google.com/maps/place/HD+%C4%B0skender/data=!4m7!3m6!1s0x14cb500366ecf527:0xa73b88031b1aeb7e!8m2!3d40.758029!4d29.9795779!16s%2Fg%2F11cmtyzfbl!19sChIJJ_XsZgNQyxQRfusaGwOIO6c?authuser=0&hl=tr&rclk=1
Kare Restaurant,"Yenişehir, Adnan Menderes Blv. No:8/1, 41100 İzmit/Kocaeli",(0262) 335 50 80,N/A,Web sitesi yok,https://www.google.com/maps/place/Kare+Restaurant/data=!4m7!3m6!1s0x14cb4f2066d3b0cb:0xb19f2d36a3f158bc!8m2!3d40.7641456!4d29.9595979!16s%2Fg%2F11j285cpcn!19sChIJy7DTZiBPyxQRvFjxozYtn7E?authuser=0&hl=tr&rclk=1
"Loco Lounge & Hookah - İzmit Nargile, Maç","Duo Life Residence Symbol AVM Arkası, Ovacık, Kavakçılık Sok No:31/D, 41300 Başiskele/Kocaeli",0533 051 72 41,http://www.locolounge.com.tr/,info@locolounge.com.tr,"https://www.google.com/maps/place/Loco+Lounge+%26+Hookah+-+%C4%B0zmit+Nargile,+Ma%C3%A7/data=!4m7!3m6!1s0x14cb4f57181a2e71:0x1036ea09ee36c1ed!8m2!3d40.7555281!4d29.9775218!16s%2Fg%2F11s1l6kb2k!19sChIJcS4aGFdPyxQR7cE27gnqNhA?authuser=0&hl=tr&rclk=1"
Maşşa Ocakbaşı,"M.Ali Pasa Mah. Erkan Sok. No:3 (Teona Otel Altı), 41050 İzmit/Kocaeli",(0262) 322 40 40,http://facebook.com/massaocakbasi,E-posta bulunamadı,https://www.google.com/maps/place/Ma%C5%9F%C5%9Fa+Ocakba%C5%9F%C4%B1/data=!4m7!3m6!1s0x14cb4ff3e727bfbf:0x5b9e406c2327e5e5!8m2!3d40.7636425!4d29.9562956!16s%2Fg%2F11c5rq2532!19sChIJv78n5_NPyxQR5eUnI2xAnls?authuser=0&hl=tr&rclk=1
Çınaraltı Künefe & Kahvaltı,"Yenişehir, Demokrasi Cd. No:76, 41900 İzmit/Kocaeli",(0262) 311 54 61,http://www.cinaraltikunefe.com/,info@cinaraltikunefe.com,https://www.google.com/maps/place/%C3%87%C4%B1naralt%C4%B1+K%C3%BCnefe+%26+Kahvalt%C4%B1/data=!4m7!3m6!1s0x14cb4f24913dc991:0xbfb0195a74f19da8!8m2!3d40.763447!4d29.9617489!16s%2Fg%2F11f6514z44!19sChIJkck9kSRPyxQRqJ3xdFoZsL8?authuser=0&hl=tr&rclk=1
Domino's Pizza Başiskele,"Barbaros Mah Atatürk Cad N39, 41090 Başiskele/Kocaeli",(0262) 343 28 00,https://www.dominos.com.tr/subeler/kocaeli/basiskele-40560,E-posta bulunamadı,https://www.google.com/maps/place/Domino%27s+Pizza+Ba%C5%9Fiskele/data=!4m7!3m6!1s0x14cb448ace83342f:0xd8153a9496d2e5f7!8m2!3d40.7095521!4d29.9296462!16s%2Fg%2F11cmht5n3b!19sChIJLzSDzopEyxQR9-XSlpQ6Fdg?authuser=0&hl=tr&rclk=1
Tavuk Dünyası Sembol Avm Kocaeli,"Symbol Kocaeli Alışveriş Merkezi, Ovacık, D100 No:34, 41100 Başiskele/Kocaeli",444 8 850,https://www.tavukdunyasi.com/,E-posta bulunamadı,https://www.google.com/maps/place/Tavuk+D%C3%BCnyas%C4%B1+Sembol+Avm+Kocaeli/data=!4m7!3m6!1s0x14cb500366ecf527:0x189e25f07159b18b!8m2!3d40.759317!4d29.979217!16s%2Fg%2F11bxg2vdqb!19sChIJJ_XsZgNQyxQRi7FZcfAlnhg?authuser=0&hl=tr&rclk=1
Yeşilbaşiskele Lokantası,"Barbaros, Atatürk Cd. No:28, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Ye%C5%9Filba%C5%9Fiskele+Lokantas%C4%B1/data=!4m7!3m6!1s0x14cb44f569fd58b7:0x9327c5cbf15158a5!8m2!3d40.711429!4d29.928838!16s%2Fg%2F113dy7wtr!19sChIJt1j9afVEyxQRpVhR8cvFJ5M?authuser=0&hl=tr&rclk=1
Klida Karadeniz,"Yenişehir, Ziynet Sk. No:2, 41050 İzmit/Kocaeli",(0262) 331 33 41,http://tr-tr.facebook.com/Klida-Karadeniz-920081214766839/,Siteye erişilemedi,https://www.google.com/maps/place/Klida+Karadeniz/data=!4m7!3m6!1s0x14cb4fe5ac0c6c91:0x15c7fdf54fb0d0ec!8m2!3d40.7673461!4d29.9650201!16s%2Fg%2F11cst2l7yc!19sChIJkWwMrOVPyxQR7NCwT_X9xxU?authuser=0&hl=tr&rclk=1
Gece dönercisi,"Servetiye Cami, 41090 Başiskele/Kocaeli",Telefon Yok,N/A,Web sitesi yok,https://www.google.com/maps/place/Gece+d%C3%B6nercisi/data=!4m7!3m6!1s0x14cb43007c0e2187:0xfc8ad1b748b307f8!8m2!3d40.6298368!4d29.950926!16s%2Fg%2F11y59dj3xr!19sChIJhyEOfABDyxQR-AezSLfRivw?authuser=0&hl=tr&rclk=1
